,OxicWtGlcDil0p25_Broth-1,OxicWtGlcDil0p25_Broth-2,OxicWtGlcDil0p25_Broth-3,OxicWtGlcDil0p25_Broth-4,OxicWtGlcDil0p25_Broth-5,OxicWtGlcDil0p25_Broth-6,OxicWtGlcDil0p33_Broth-1,OxicWtGlcDil0p33_Broth-2,OxicWtGlcDil0p33_Broth-3,OxicWtGlcDil0p33_Broth-4,OxicWtGlcDil0p33_Broth-5,OxicWtGlcDil0p33_Broth-6,OxicWtGlcDil0p46_Broth-1,OxicWtGlcDil0p46_Broth-2,OxicWtGlcDil0p46_Broth-3,OxicWtGlcDil0p46_Broth-4,OxicWtGlcDil0p46_Broth-5,OxicWtGlcDil0p46_Broth-6,OxicWtGlcDil0p59_Broth-1,OxicWtGlcDil0p59_Broth-2,OxicWtGlcDil0p59_Broth-3,OxicWtGlcDil0p59_Broth-4,OxicWtGlcDil0p59_Broth-5,OxicWtGlcDil0p59_Broth-6
atp,0.411854683999994,1.91572726599998,1.58475287100002,0.525772495000008,2.03242401800002,1.85477156999997,1.78315499499997,1.71593792799997,2.42252177899995,1.470212108,1.94337246700001,2.73164950399997,2.24731945000002,2.256868664,2.43316939799998,2.14506409799997,1.993063613,2.98352776999995,2.40162922200003,3.23922685900004,2.21008805099999,2.72278377400002,3.37529017499995,2.42111283300001
camp,0.00140282399999999,0.00148419,0.000590508068935014,0.00127082699999999,0.00155302900000003,0.000723857999999995,0.00304424700000003,0.00406809600000005,0.00149357300000002,0.00207782900000004,0.004782917,0.000804145000000007,0.00157704799999998,0.0119983309999997,0.00251812499999996,0.00128697499999998,0.0132396559999998,0.00412774300000007,0.00716824299999993,0.00380230900000003,0.010213998,0.00494886700000006,0.00405604899999992,0.00976088100000005
chor,5.814943804,6.8869214240001,3.48139138399994,6.50341386400009,5.04358155899993,3.52518668899995,3.46100061049995,7.27964011550007,1.65134815250002,2.60596528750007,4.17044391850003,3.59346467849994,3.36703710050005,12.1161643744999,2.94189073249996,1.56209027249998,8.06211597449986,3.48192090649994,3.67593339250005,3.05980417450004,5.1686144925,4.61511631649996,2.47119323249995,5.22993512450005
cit,0.408735411000006,0.531178334999997,0.411399790000004,0.503050052999993,0.516670540000005,0.357168141999997,0.493072099000006,0.64020621300001,0.370445641000003,0.626319297000007,0.685576631000003,0.426847606000008,0.488471128000003,0.83266455199999,0.440515224000008,0.521027563000006,0.77789507,0.58586187100001,0.257442071000007,0.463540237000005,0.312633315999999,0.734485975999983,0.313679180999998,0.444070576000001
citr-L,0.0245866690000003,0.0320299169999994,0.0266286790000006,0.0248376499999996,0.0326793569999995,0.0331558769999995,0.0378472039999997,0.0350455929999997,0.0319875680000008,0.0406283850000001,0.0437863920000007,0.0309492169999999,0.0414784040000003,0.0280962299999994,0.0375560579999999,0.0402094929999995,0.0300586460000003,0.0333994719999995,0.0256615519999998,0.0330260889999999,0.0317524549999996,0.0222489109999996,0.0211835270000003,0.0268237989999997
cmp,0.0115448029999998,0.0296994400000007,0.0274363089999996,0.00955883900000017,0.03859456,0.0254524180000004,0.0355541839999994,0.0352347080000003,0.0387717679999995,0.0339457679999997,0.0280458380000004,0.0368511610000007,0.0339368349999993,0.0415425139999997,0.0372654029999994,0.0308365510000001,0.0415686090000001,0.0345346159999995,0.0389858180000004,0.0345567070000001,0.0450388719999994,0.0589691050000009,0.0450263720000003,0.0387932370000001
coa,0.00873897272195669,0.0294911259999999,0.0144200530000002,0.011961887,0.051385349999999,0.0272664640000002,0.069272964500001,0.116972404500001,0.111619805499999,0.0959237324999985,0.115501177499997,0.126049190499999,0.171406522500004,0.162013343500004,0.178405957499998,0.167762172500003,0.152720977499998,0.163811712500004,0.232567560000005,0.164945865000001,0.155842199999997,0.179928794999997,0.172331682,0.126635981999999
ctp,0.00974287800000012,0.0304306919999997,0.044011822000001,0.00959585000000014,0.0388529830000004,0.049288851,0.0369979640000005,0.0337394840000008,0.0467273570000011,0.0210281230000004,0.0395278230000002,0.0544595889999989,0.036360976,0.0484958589999995,0.0338560920000004,0.0386053690000002,0.0786469030000006,0.0560954350000011,0.0675269680000008,0.064929384000001,0.0456501889999999,0.0581008670000003,0.0902276239999985,0.0454661369999989
dadp,0.00300336299999996,0.00718053599999992,0.0079413590000001,0.00326498200000003,0.005907412,0.0100452549999998,0.00766922099999979,0.0080593799999999,0.00907596900000011,0.0075651140000001,0.00725917699999991,0.0136487019999998,0.00861819799999996,0.0109894720000002,0.0110944330000001,0.0118705670000002,0.00847182299999992,0.00997927100000005,0.0505203219999991,0.0114532629999999,0.0103950200000001,0.0115495330000001,0.0176829390000002,0.0082194099999999
datp,0.00789176800000014,0.0323393490000005,0.0225892539999997,0.00864475699999997,0.0181284910000001,0.0214447480000003,0.0176976129999997,0.018707167,0.0314712439999994,0.0185860959999999,0.017218577,0.0289351989999995,0.0264694839999998,0.0280281890000003,0.0221113119999998,0.0264556899999997,0.0238166880000001,0.0280530970000006,0.0273316040000003,0.0381283970000007,0.0314399310000006,0.0331739880000007,0.0382992910000007,0.0257856849999997
dcdp,0.00309257099999996,0.00698349299999991,0.00750195400000012,0.00414303499999992,0.00712989099999995,0.00771459300000016,0.00922831499999983,0.00584879400000004,0.0133212339999998,0.0058375430000001,0.0056199929999999,0.0110186310000001,0.0124446799999999,0.0115829380000001,0.0103602699999998,0.0150261030000002,0.0124482449999999,0.0127722289999999,0.0156494560000001,0.0141562139999998,0.00828725474340188,0.0151707709999997,0.0136313549999998,0.00921772599999999
dctp,0.00446764399999999,0.00857688099999991,0.0116302770000001,0.00552570040120568,0.0157812489999999,0.0119350380000002,0.00954387799999997,0.00922482000000002,0.0125889440000003,0.00635589899999994,0.00883326599999991,0.0166618720000002,0.0176850399999999,0.014636178,0.0143301929999997,0.0151002029999997,0.0234768589999997,0.0184373470000002,0.0257477199999994,0.0250415689999999,0.0168843200000003,0.0207570980000004,0.0353877430000005,0.0147861640000002
dhap,0.200808525000005,0.293094141999997,0.211905698999999,0.191491713000003,0.293712873999995,0.204668948999997,0.210580900999995,0.186141673999999,0.174239658000003,0.270374642999999,0.177872756999998,0.164348733999998,0.313986225000003,0.327776715000005,0.276590126999999,0.285869545,0.328155883000001,0.341419971999999,0.349813872000006,0.298956823999997,0.341758818,0.316928954999999,0.384954713000009,0.272453377999998
dtmp,0.00265864700000004,0.00824472399999994,0.0115741969999999,0.00268919599999996,0.00852874100000002,0.00973498499999984,0.0137508260000003,0.011907721,0.0120336099999997,0.0143544420000001,0.0119862079999998,0.0133902369999998,0.0172240274999997,0.0127096654999997,0.0150076904999996,0.0162921054999998,0.0122553935000002,0.0177462575000003,0.0150991235000003,0.0146380004999998,0.0159246525000003,0.0169021335000003,0.0138307364999997,0.0185137765000004
dttp,0.00755675999999995,0.0284156359999993,0.0171463900000003,0.0111079509999998,0.0153746269999999,0.0192736400000001,0.0254112910000002,0.0264702129999997,0.0328054490000006,0.0218114950000002,0.0239158159999998,0.035925851000001,0.0268637749999997,0.0340903750000006,0.0251835719999998,0.0292682679999994,0.0227107549999997,0.036111635,0.0296200619999995,0.042479017,0.0236774870000003,0.0350504710000006,0.0375782090000001,0.0244767719999999
dump,0.000492898999999994,0.00109614199999999,0.000983582000000016,0.000680611000000012,0.00113662299999999,0.000742135999999986,0.00112356599999998,0.00116954199999999,0.00185649900000002,0.000994672000000009,0.00126176100000001,0.000756878000000009,0.00170574800000001,0.00293348900000001,0.00229336399999999,0.00230059899999998,0.00254275899999996,0.00170342899999998,0.00225753899999996,0.00212772699999998,0.00182214699999999,0.00182191200000002,0.00177519999999998,0.00304586200000001
f6p,0.406002745000006,0.42621784599999,0.514858773000004,0.373024262000001,0.505472741000005,0.476636494999992,0.487551078500007,0.528009083500011,0.377510337499999,0.558942727499997,0.515875922500004,0.52719096150001,0.518565179000006,0.444061470000005,0.650695973999984,0.536796068999996,0.516212805000006,0.696363173999998,0.66565470549999,0.467696774499996,0.397707669499995,0.45704917450001,0.636258829499989,0.458832946500009
fad,0.00806361400000009,0.0147431279999997,0.0144610909999998,0.00735189600000011,0.0104250140000002,0.00993878399999986,0.0162573389999996,0.0117065759999999,0.0128309479999999,0.00931269899999995,0.0292598079999998,0.0143799270000001,0.0112859699999999,0.0241017349999997,0.0226316850000003,0.012177216,0.0190323990000002,0.0318148789999995,0.019895438,0.0219600180000002,0.017883397,0.0136091220000001,0.0235526019999997,0.017023306
fdp,0.0514897380000007,0.0825010239999999,0.102015839000002,0.0700478910000011,0.088220561,0.106745778999998,0.217390668999997,0.152607196999999,0.452407358000004,0.169216860000003,0.156075074999999,0.418920137999992,0.48816708499999,0.296206539000001,0.406771978999998,0.378142790000008,0.309129658,0.548801605999994,0.731935725000001,0.79770033399999,0.258929762000003,0.765975267000009,0.568227202999995,0.302573712999997
fum,0.689967014999988,0.93592578599999,0.646821097000001,0.748794212999997,0.824743254000019,0.729253290999995,0.548844035999994,0.424010129999999,0.360379631999994,0.365374541999999,0.430441330999998,0.352889702000007,0.478296258999993,0.434496815999994,0.467230217999998,0.451307240000005,0.465658787999996,0.401078998000002,0.402568425000009,0.336037483,0.400758251000009,0.374436709000005,0.347706099999999,0.41614335000001
g1p,0.0680204000000009,0.0764575079999997,0.0451959540000004,0.0658382379999991,0.0542722440000013,0.045367035,0.0285783849999996,0.0663861589999987,0.034045101,0.040068990000001,0.0471627399999994,0.0418485479999998,0.0434480870000009,0.0993660740000015,0.0480636309999998,0.0393868569999995,0.0869920070000012,0.0516264669999989,0.073361253500001,0.0572267275000011,0.0728045234999983,0.0813220394999997,0.0600784335000011,0.0719904075000008
g6p,0.626046775000001,0.429772680999991,0.516445476000001,0.466171628999989,0.478268586000009,0.514359809999988,0.451365434000009,0.428397410000002,0.432986674999996,0.354584305000003,0.608586020999997,0.395511041000005,0.618257857999995,0.449887944000007,0.530117272999987,0.613977657999998,0.317067548000006,0.708913722000002,0.508384132999996,0.620946393000007,0.67152972,0.684371234,0.725149174999994,0.546277460000003
gam6p,0.0673413789999988,0.0786016689999995,0.0751289030000006,0.066181254,0.0840327979999998,0.0760534559999983,0.0831906259999998,0.0774961120000002,0.0926191749999996,0.0716299420000009,0.0976841789999989,0.0995206139999994,0.118586699000002,0.123781933999997,0.115219761000002,0.109333446999998,0.120200018999998,0.100325885,0.109210817000001,0.0775908189999995,0.0791941070000007,0.0810381750000019,0.108029064999998,0.0941124959999985
gdp,0.01095705,0.02508877,0.0393827999999992,0.0121128049999998,0.0253793820000003,0.0465284080000003,0.0165690359999999,0.0237465300000003,0.03636911,0.0232032480000003,0.0306769930000001,0.0353876170000003,0.0317055330000002,0.0432083270000001,0.0495377680000004,0.0338790119999999,0.0367850800000006,0.0382590890000003,0.0546397029999995,0.066669689999999,0.0392927579999998,0.048596772000001,0.068666935000001,0.0291163139999997
gln-L,0.0645514559999985,0.100469406000001,0.0695187150000006,0.056265510000001,0.0829551820000009,0.0603363399999993,0.230575665999995,0.189423925999998,0.139790852000002,0.307991148000003,0.253130817999995,0.138738325999999,0.537850462935797,0.479081713000013,0.453772775991066,0.971276787988387,0.225749755999999,1.13792850013162,1.34077495499999,1.49960039300002,1.482731946,1.47140243700003,1.91802157300002,1.47645644299998
glu-L,8.93403273599988,11.2647167249999,10.3769886549999,8.02079791100004,11.7433191250002,11.7347225949999,10.7148804249998,13.8290936049998,11.5085417150002,11.6783969549998,12.2877459949997,12.2554718749998,11.391574975,10.5316729049998,13.3874983149999,11.700856465,11.350295105,16.6963254549996,9.98900294200015,10.7187011919997,9.63715535200012,10.4105731420003,9.58171934199999,9.50838382800002
glutacon,1.03019979999999,0.927337986999989,2.61843257400004,0.792601902999993,1.531725736,2.57020530994138,0.627825213460573,0.627825213460573,0.627825213460573,0.627825213460573,0.627825213460573,0.627825213460573,1.42365923827562,2.23545077850002,1.34095464749999,0.349563765500003,4.59201983250013,3.86836844849996,0.729907766999989,1.12002266,2.66861840599996,3.83015458199998,2.56650480500002,2.52419663999995
glx,0.190434171,0.0545388560000005,0.107855995999999,0.144992669999997,0.128093918999998,0.0894338599999998,0.165750316500001,0.128475935500003,0.0571400332089936,0.1480711825,0.253234880500002,0.0165230654999998,0.0761290094999995,0.2896086795,0.118347906500002,0.00516530550000001,0.353217112499996,0.050701683500001,0.1262580235,0.0318226394999997,0.114984546499998,0.219479722500004,0.0798011095000007,0.263669342500003
glyc3p,0.0735928249999999,0.0726322080000013,0.0491539610000001,0.0566400900000004,0.093470433999998,0.0356625070000003,0.0568118254999992,0.0710558605000008,0.0517128554999999,0.0798890075000002,0.0842925694999987,0.0505988625000008,0.0635201595000009,0.153937187500001,0.0778840494999997,0.0467548645000004,0.172056861500002,0.0803000195000007,0.0919909554999987,0.0682989554999991,0.111957902499998,0.100812544500001,0.103554954499999,0.123139319499999
glyclt,0.232323118000003,0.204440699999999,0.129115624999998,0.165205558999997,0.213922158999998,0.120429227000002,0.122947718000003,0.145710233,0.0154535229999998,0.124604266000002,0.233915230000002,0.0161383260000001,0.069694003999999,0.237310793999997,0.104542648000002,0.0581153349999985,0.260147186000005,0.098231210999999,0.0858663574999994,0.0540436355000007,0.132342235500002,0.125101813499998,0.0614608684999994,0.175300854499997
gthox,0.338161266999996,0.57138261199999,0.497691958000007,0.290858683000005,0.51326053899999,0.527828924999995,0.441272681999992,0.463577778999994,0.644036031999997,0.555946242999995,0.486312797999987,0.75856981499999,0.394706795999995,0.358430342000003,0.585444940000002,0.507978740999992,0.353405822000008,0.471717576999996,0.232159187999998,0.272018089000001,0.257210351999994,0.282858501,0.288525058000003,0.342688071999992
gthrd,2.34660731699998,3.12110269300001,2.88594243799996,2.45739851899998,3.28634078999997,2.71694644699999,2.70180306300001,2.97569021500006,3.03386515900001,2.66881942700001,3.18705279899997,3.50674479200004,3.06014831599998,2.80460881299997,2.93128774900002,4.42675360200006,2.62397652800002,3.10433928000006,4.05642903699992,2.87718043799999,2.87350000200001,5.16067874700002,3.36112762699997,2.43467589500004
gtp,0.186038126001108,0.116505063000002,0.165197269999996,0.363118977625329,0.114500364821097,0.140800654000002,0.0822982429999981,0.0801865250000009,0.107342893999999,0.139500011961416,0.0740779260000008,0.106163218000002,0.163929306999998,0.152795913000003,0.175573162778847,0.136139846000002,0.186092508999999,0.190262544999998,0.151856018999998,0.249166583999996,0.156360602999998,0.151218476999998,0.247306554999996,0.123275114999999
icit,0.0204196619999997,0.0162059259999997,0.01767338,0.0107923149999999,0.00771390700000011,0.0104040239999998,0.0139097269999998,0.0202796099999996,0.00736099099999988,0.00954562799999985,0.0150584649999997,0.00917984799999991,0.00794534999999997,0.00978044700000001,0.00950107799999974,0.0127614860000001,0.0127088180000001,0.00853497199999984,0.0101380029999998,0.00721466899999987,0.00900280100000003,0.0115137260000003,0.00830201700000009,0.0125417129999997
imp,0.00495450301588107,0.0156812740000002,0.0154336700000001,0.00624430089487228,0.0124651016005136,0.012448139,0.0142144609999999,0.0110555879999998,0.0129819169999998,0.0199728690000001,0.00958805500000004,0.0139521229999997,0.0142992930000002,0.00808677800000001,0.0175998800000001,0.0133667590000001,0.0187022799999997,0.0149422060000002,0.0162574039999997,0.0148006909999997,0.0162771750000003,0.0242516719999995,0.0216385559999995,0.0168519660000004
mal-L,0.766718709999994,1.00395264899999,0.841438077000014,1.364853879,1.28519187400002,1.08265136199999,1.10630897800001,1.38572548100001,1.226127671,1.33980385100001,1.33648846300002,0.161028056000001,1.18355348550002,3.21496517349999,1.2097778715,1.23292531550001,1.23333288649998,0.968428162500004,1.0878792395,0.855333978499996,1.19502347050001,0.922747899499996,0.92321513750002,1.07652074550001
met-L,0.00460450500000001,0.00915671799999988,0.00598988499999997,0.00181248899999998,0.00762953100000007,0.00830085800000009,0.0249987800000004,0.00898778899999999,0.00867011700000008,0.0305242549999996,0.022870385,0.00843503200000015,0.0157084679999998,0.0187643979999998,0.019818179,0.019826909,0.0190865379999998,0.0200204210000003,0.0168241990000001,0.0187691190000002,0.019210316,0.0159897450000003,0.0173655400000001,0.017453004
mmal,0.0433242169999992,0.0491704809999995,0.0285265539999998,0.0389591890000005,0.0502414500000009,0.0240769649999999,0.00801677649999992,0.00753165650000013,0.00397127749999992,0.00719399250000017,0.0117439425000002,0.0045893565,0.00303747199999996,0.00834852800000001,0.00453487399999997,0.004753981,0.0105761219999998,0.00351277499999994,0.00352766600000007,0.00305811700000003,0.00440406799999999,0.00245979100000001,0.00288050599999993,0.00371236799999997
nad,0.104447547999999,0.306115105999994,0.311837475000003,0.114749286000002,0.375579816000008,0.315787817999995,0.426066358500006,0.314780078500003,0.398332455499997,0.4238055605,0.364631932500003,0.410871020499997,0.421085801999994,0.431666559999997,0.455677483999993,0.421884476000002,0.421612181999993,0.565715802999992,0.445918092499995,0.414530747500006,0.401171243500002,0.434370249499993,0.393763127499995,0.382482885499997
nadh,0.00871386700000006,0.017407813,0.00741510599999989,0.0102854000000001,0.0141906049999997,0.0103083420000001,0.00509919000000007,0.00626446800000009,0.00641811699999995,0.00567378900000002,0.00632452099999987,0.00833282299999994,0.0061457379999999,0.00789514700000011,0.00511797299999996,0.00435635500000003,0.008975929,0.00639732399999994,0.00786976799999995,0.00402796000000007,0.005496953,0.0053535589999999,0.00580606699999997,0.00527866000000008
nadp,0.00545582099999998,0.0478729089999992,0.0299613620000007,0.00621304499999998,0.0471350270000008,0.0337953939999994,0.0464122045000006,0.0552857845000004,0.0575715075000004,0.0488458554999998,0.0457487664999994,0.0638150894999985,0.0563787829999996,0.0911937289999981,0.0559169909999986,0.0517501499999988,0.0817314450000015,0.0623539070000007,0.0513822174999992,0.0495921624999997,0.0786045724999991,0.0341554375000004,0.0549496315000009,0.0836261095000015
nadph,0.000311025000000002,0.000577349999999995,0.000542046999999997,0.000284967000000001,0.000524962000000004,0.000504689000000002,0.00169727700000004,0.00270738899999995,0.00188169399999998,0.00146200599999998,0.00209965500000003,0.00149650800000001,0.002656329,0.00241212399999999,0.00160785699999999,0.00152843199999998,0.00238840399999997,0.00343780899999992,0.00326908599999998,0.002433992,0.00193138899999995,0.00239068299999997,0.00190718200000002,0.00313965899999994
pep,0.048034287999999,0.0528769590000007,0.047809739000001,0.0430378340000007,0.0517244139999993,0.0527142259999995,0.0275237349999998,0.0382675930000003,0.0287485449999994,0.0331649069999998,0.0398788330000003,0.0361903949999992,0.0288943969999994,0.0317639880000007,0.0378537870000002,0.0301492090000003,0.0300313219999995,0.0324931729999996,0.0328241624999996,0.0308069575000004,0.0298253085000005,0.0402862884999996,0.0363271814999996,0.0293872975000004
phe-L,0.00826512799999985,0.00705575000000009,0.00545636499999995,0.00534790000000003,0.0107213099999999,0.0106291219999999,0.0505390989999998,0.0159988420000001,0.022042527,0.0710071499999998,0.0704503700000016,0.0146975549999998,0.0283283889999995,0.0364943030000002,0.0272037030000004,0.0101335990000001,0.0446519059999992,0.0136095820000003,0.0150185769999998,0.024094238,0.016361926,0.0136421119999998,0.0178000419999998,0.0134428720000002
phpyr,0.525319480000005,0.561892635999997,0.255211300000006,0.456209845999992,0.618211599000005,0.254064782,0.253890287500006,0.535432693500007,0.158111868499998,0.213903348499998,0.541242334499998,0.164006966500001,0.222621992499997,1.20141311350001,0.401797456499995,0.184978814499999,1.24480497750003,0.2821957765,0.436204325999996,0.328883223999998,0.79000166699999,0.411770830000006,0.353779358999992,0.751150126999991
prpp,41.3414337356686,31.3535767600004,41.7155255100004,67.1783035444441,30.6276817100004,33.2538182899996,13.6103185600003,25.9192222499996,41.45096509,16.8504283010338,20.4146637400005,34.2502194900005,21.7875026000001,52.8287624599997,31.6999000959413,20.3131470400003,52.8449802800005,22.7817236019731,24.4056967077631,18.6725506399999,23.5338112,37.8811166800004,22.8434638500002,25.2603809899995
r5p,0.00981710900000009,0.016468261,0.0128186580000001,0.0134155539999999,0.0119617200000003,0.0108795110000001,0.0111316610000002,0.0140174010000002,0.0106692909999999,0.0163226250000004,0.0135127910000001,0.0141727760000002,0.0147265260000001,0.0174205339999997,0.0145689820000001,0.0128777810000002,0.0174058660000003,0.0141521170000001,0.0138408850000001,0.0155099700000001,0.012880569,0.0162503770000003,0.0167272060000001,0.0184351589999995
ru5p-D,0.00550746600000006,0.00765639599999985,0.0074958369999998,0.00544791800000002,0.00609728099999996,0.00642168099999996,0.00734465199999981,0.00744145200000008,0.00642835699999994,0.00718527699999985,0.00725719099999993,0.00677003000000014,0.00763518699999999,0.0143414256122937,0.0104006269999999,0.00713412400000005,0.0173410482508128,0.00997998700000001,0.004599041,0.00703275600000007,0.00480659699999997,0.00660371299999988,0.00673576700000009,0.00906045899999992
s7p,0.0571727159999986,0.0935465259999984,0.0556599860000005,0.0463548190000007,0.0608316439999986,0.0542244350000003,0.0615221139999992,0.0696241229999986,0.0676307749999991,0.0484275629999993,0.0726509450000004,0.0507272999999989,0.0437024040000006,0.0599291170665449,0.0787247859999998,0.0575031770000006,0.0427531899999996,0.0578336550000012,0.0919069889999992,0.0822012909999998,0.0624852340000004,0.0753012960000004,0.0632372139999989,0.0561678830000004
ser-L,0.0650232269999989,0.0579501280000012,0.050214334000001,0.0298707180000006,0.0517525520000013,0.0338433669999997,0.643602193999991,0.153483980999997,0.16626623,1.18344692300001,0.833454211000003,0.089337868000001,0.0605001099999996,0.199779487999997,0.379790886000005,0.0859699169999999,0.0891535540000013,0.112954326999998,0.160064941000001,0.154942798999998,0.191223653999999,0.132220716999998,0.0874645560000004,0.0591065990000014
skm,0.001288056,0.00124428399999999,0.000539035000000005,0.000499095000000004,0.00089220700000001,0.000432254000000008,0.000874391999999978,0.000530723000000008,0.000190367999999998,0.00107295299999999,0.00102585300000001,0.000123622000000001,0.00133387550000001,0.00245636349999994,0.00172438749999998,0.00109781750000002,0.00200306449999999,0.0014044225,0.00115796550000002,0.00127847650000001,0.00195804250000004,0.00131768349999997,0.000785030500000005,0.00163838049999998
succ,2.37951390999998,2.89892882799996,1.81069861600003,2.74429617699996,2.86402908499999,1.89494985700002,0.391205718499993,0.520174792499987,0.327532145499999,0.500602661500008,0.679627420500001,0.415177029500001,0.254159167000005,0.473610628000005,0.239361338999999,0.290985043000001,0.525591281999996,0.244315706999998,0.230349041000003,0.195905423999997,0.229009139999996,0.259595948999994,0.15019198,0.202494234999997
succoa,0.0694608373617678,0.00241754200000002,0.0910581389999986,0.266944725,0.00918847509358473,0.0627158929999983,1.05632967049998,0.420343859500005,1.44364383450003,0.516280825500007,0.696400866500002,0.803588209500014,2.42515299849996,1.16627375450002,1.33743722650001,2.2863957425,1.12369489349999,1.67297994249998,0.258613278000006,0.402848066999994,0.783925375999991,0.382833238944936,0.414809234000004,0.473560129000008
