Reaction,Flux,Subsystem
EAR121y,0.0,Cell Envelope Biosynthesis
ALATRS,0.0,tRNA Charging
CTBTt2rpp,0.0,"Transport, Inner Membrane"
EX_tungs_LPAREN_e_RPAREN_,0.0,
EX_ascb_DASH_L_LPAREN_e_RPAREN_,0.0,
EX_frulys_LPAREN_e_RPAREN_,0.0,
MDDCP2pp,0.0006067161189055177,Murein Biosynthesis
UDPACGALtex,0.0,"Transport, Outer Membrane Porin"
EX_hdcea_LPAREN_e_RPAREN_,0.0,
23DAPPAt2pp,0.0,"Transport, Inner Membrane"
LEUTAi,0.3946611725144424,"Valine, Leucine, and Isoleucine Metabolism"
EX_dcyt_LPAREN_e_RPAREN_,0.0,
EX_butso3_LPAREN_e_RPAREN_,0.0,
IDONt2rpp_reverse,0.0,"Transport, Inner Membrane"
EX_LalaLglu_LPAREN_e_RPAREN_,0.0,
REPHACCOAI_reverse,0.0,Alternate Carbon Metabolism
3AMPtex,0.0,"Transport, Outer Membrane Porin"
ARBtex_reverse,0.0,"Transport, Outer Membrane Porin"
XANtex,0.0,"Transport, Outer Membrane Porin"
EX_cys_DASH_D_LPAREN_e_RPAREN_,0.0,
IPPMIb,0.0,"Valine, Leucine, and Isoleucine Metabolism"
EX_ump_LPAREN_e_RPAREN_,0.0,
FCLK,0.0,Alternate Carbon Metabolism
EX_xtsn_LPAREN_e_RPAREN_,0.0,
PLIPA1A181pp,0.0,Glycerophospholipid Metabolism
2AGPG120tipp,0.0,"Transport, Inner Membrane"
EX_tcynt_LPAREN_e_RPAREN_,0.0,
DTMPK_reverse,0.0,Nucleotide Salvage Pathway
KG6PDC,0.0,Alternate Carbon Metabolism
CYNTt2pp,0.0,"Transport, Inner Membrane"
EX_so2_LPAREN_e_RPAREN_,0.0,
23CGMPtex_reverse,0.0,"Transport, Outer Membrane Porin"
ACtex,0.0,"Transport, Outer Membrane Porin"
ACt2rpp_reverse,1.6488637620698632,"Transport, Inner Membrane"
3PEPTabcpp,0.0,Murein Recycling
ALATA_D2,0.0,Cofactor and Prosthetic Group Biosynthesis
CFAS180G,0.0,Glycerophospholipid Metabolism
EDA,0.0,Pentose Phosphate Pathway
MLTP3_reverse,0.0,Alternate Carbon Metabolism
EDD,0.0,Pentose Phosphate Pathway
FRUK,0.0,Alternate Carbon Metabolism
THYMtex_reverse,0.0,"Transport, Outer Membrane Porin"
GALBDtex,0.0,"Transport, Outer Membrane Porin"
EX_4hoxpacd_LPAREN_e_RPAREN_,0.0,
GTHRDHpp,0.0,Cofactor and Prosthetic Group Biosynthesis
PRPPS,0.815846567392075,Histidine Metabolism
23PDE9pp,0.0,Nucleotide Salvage Pathway
MALTTTRabcpp,0.0,"Transport, Inner Membrane"
SDPDS,0.3254675881543307,Threonine and Lysine Metabolism
12PPDRtpp,0.0,"Transport, Inner Membrane"
CHTBStex_reverse,0.0,"Transport, Outer Membrane Porin"
EX_14glucan_LPAREN_e_RPAREN_,0.0,
INDOLEt2rpp_reverse,0.0,"Transport, Inner Membrane"
DHAtpp_reverse,0.0,"Transport, Inner Membrane"
prpp_to_his_DASH_L,0.08298938936399158,
FTHFD,0.0,Folate Metabolism
HIStex_reverse,0.0,"Transport, Outer Membrane Porin"
EX_pnto_DASH_R_LPAREN_e_RPAREN_,0.0,
FALGTHLs_reverse,0.0,Cofactor and Prosthetic Group Biosynthesis
AGPAT120,0.0,Glycerophospholipid Metabolism
XTSNtex,0.0,"Transport, Outer Membrane Porin"
VALabcpp,0.0,"Transport, Inner Membrane"
23DAPPAtex_reverse,0.0,"Transport, Outer Membrane Porin"
GALtex_reverse,0.0,"Transport, Outer Membrane Porin"
EX_pi_LPAREN_e_RPAREN_,0.0,
THMtex,0.0,"Transport, Outer Membrane Porin"
AMANAPEr_reverse,0.0,Alternate Carbon Metabolism
PGPP180pp,0.0,Glycerophospholipid Metabolism
UDPGALtex_reverse,0.0,"Transport, Outer Membrane Porin"
TRPTRS,0.0,tRNA Charging
2AGPG181tipp,0.0,"Transport, Inner Membrane"
OCBT,0.2591119567545675,Arginine and Proline Metabolism
EX_ptrc_LPAREN_e_RPAREN_,0.0,
DHORD5,0.0,Purine and Pyrimidine Biosynthesis
CPGNexs,0.0,Inorganic Ion Transport and Metabolism
S4FE4ST,0.0,Cofactor and Prosthetic Group Biosynthesis
AGM4PH,0.0,Murein Recycling
EX_23cgmp_LPAREN_e_RPAREN_,0.0,
S4FE4SR,0.0,Cofactor and Prosthetic Group Biosynthesis
ARBTNexs,0.0,Inorganic Ion Transport and Metabolism
AGM4PA,0.0,Murein Recycling
PPM_reverse,0.007697090970609031,Alternate Carbon Metabolism
PYNP2r_reverse,0.0,Nucleotide Salvage Pathway
EX_ppa_LPAREN_e_RPAREN_,0.0,
MELIBt3ipp,0.0,"Transport, Inner Membrane"
HPYRI,0.0,Alternate Carbon Metabolism
ADEt2rpp,0.0,"Transport, Inner Membrane"
4PEPTabcpp,0.0,Murein Recycling
GALt2pp,0.0,"Transport, Inner Membrane"
LPLIPAL1E161pp,0.0,Glycerophospholipid Metabolism
AGMH,0.0,Murein Recycling
SERAT_reverse,0.0,Cysteine Metabolism
EX_met_DASH_D_LPAREN_e_RPAREN_,0.0,
MMETtex_reverse,0.0,"Transport, Outer Membrane Porin"
PPM2_reverse,0.0,Alternate Carbon Metabolism
GALabcpp,0.0,"Transport, Inner Membrane"
FUSAtex_reverse,0.0,"Transport, Outer Membrane Porin"
TRPtex,0.0,"Transport, Outer Membrane Porin"
EX_anhgm_LPAREN_e_RPAREN_,0.0,
EX_glcr_LPAREN_e_RPAREN_,0.0,
CRNtex,0.0,"Transport, Outer Membrane Porin"
SERt2rpp_reverse,0.0,"Transport, Inner Membrane"
HMPK1,0.0,Cofactor and Prosthetic Group Biosynthesis
LPLIPAL1E140pp,0.0,Glycerophospholipid Metabolism
GLCURt2rpp,0.0,"Transport, Inner Membrane"
ACSERtex_reverse,0.0,"Transport, Outer Membrane Porin"
EX_LalaDgluMdapDala_LPAREN_e_RPAREN_,0.0,
TAUDO,0.0,Alternate Carbon Metabolism
URIt2rpp_reverse,0.0,"Transport, Inner Membrane"
IDOND2,0.0,Alternate Carbon Metabolism
LYXtex_reverse,0.0,"Transport, Outer Membrane Porin"
EX_inost_LPAREN_e_RPAREN_,0.0,
LYSTRS,0.0,tRNA Charging
FE3Ri,0.0,Cofactor and Prosthetic Group Biosynthesis
DDGLK,0.0,Alternate Carbon Metabolism
TTRCYCtex_reverse,0.0,"Transport, Outer Membrane Porin"
EX_tre_LPAREN_e_RPAREN_,0.0,
ALAALAr_reverse,0.0,Cell Envelope Biosynthesis
ASNtex_reverse,0.0,"Transport, Outer Membrane Porin"
3AMACHYD,0.0,Nucleotide Salvage Pathway
EX_fald_LPAREN_e_RPAREN_,0.0,
ACONTb,4.305678506388412,Citric Acid Cycle
PGLYCP,0.0,Alternate Carbon Metabolism
ACACt2pp_reverse,0.0,"Transport, Inner Membrane"
BUTCT,0.0,Alternate Carbon Metabolism
CLPNS180pp_reverse,0.0,Glycerophospholipid Metabolism
ASNabcpp,0.0,"Transport, Inner Membrane"
PLIPA1G160pp,0.0,Glycerophospholipid Metabolism
DADNt2pp,0.0,"Transport, Inner Membrane"
ARGtex,0.0,"Transport, Outer Membrane Porin"
ETHAtex,0.0,"Transport, Outer Membrane Porin"
PSCLYStex_reverse,0.0,"Transport, Outer Membrane Porin"
5DGLCNt2rpp_reverse,0.0,"Transport, Inner Membrane"
EX_nh4_LPAREN_e_RPAREN_,0.0,
EX_12ppd_DASH_S_LPAREN_e_RPAREN_,0.0,
ADNK1,0.007697090970609031,Nucleotide Salvage Pathway
23CGMPtex,0.0,"Transport, Outer Membrane Porin"
CLtex,0.004464276702555905,"Transport, Outer Membrane Porin"
TTDCEAtexi,0.0,"Transport, Outer Membrane"
CRNCAR,0.0,Oxidative Phosphorylation
EX_g3pg_LPAREN_e_RPAREN_,0.0,
CRNCAR_reverse,0.0,Oxidative Phosphorylation
EX_arg_DASH_L_LPAREN_e_RPAREN_,0.0,
DXPS,0.006375477552618134,Cofactor and Prosthetic Group Biosynthesis
ACSERtex,0.0,"Transport, Outer Membrane Porin"
EX_mmet_LPAREN_e_RPAREN_,0.0,
LEUtex_reverse,0.0,"Transport, Outer Membrane Porin"
hom_DASH_L_and_cyst_DASH_L_to_pyr_hcys_DASH_L,0.14091049474818268,
FORt2pp,0.0,"Transport, Inner Membrane"
PLIPA2E120pp,0.0,Glycerophospholipid Metabolism
PMANM_reverse,0.0,Alternate Carbon Metabolism
EX_malttr_LPAREN_e_RPAREN_,0.0,
CTBTCAL2,0.0,Oxidative Phosphorylation
LCTStex_reverse,0.0,"Transport, Outer Membrane Porin"
SUCRtex,0.0,"Transport, Outer Membrane Porin"
EAR120y,0.0,Cell Envelope Biosynthesis
MLTP1,0.0,Alternate Carbon Metabolism
MLTP2,0.0,Alternate Carbon Metabolism
MLTP3,0.0,Alternate Carbon Metabolism
UDPG4E,0.0,Alternate Carbon Metabolism
ISETACabcpp,0.0,"Transport, Inner Membrane"
TTRCYCtex,0.0,"Transport, Outer Membrane Porin"
EX_23ccmp_LPAREN_e_RPAREN_,0.0,
EX_indole_LPAREN_e_RPAREN_,0.0,
G3PCtex_reverse,0.0,"Transport, Outer Membrane Porin"
AM3PA,0.0,Murein Recycling
DMSOtpp_reverse,0.0,"Transport, Inner Membrane"
EX_cl_LPAREN_e_RPAREN__reverse,0.004464276702555905,
ACMANAtex,0.0,"Transport, Outer Membrane Porin"
MALTATr_reverse,0.0,Alternate Carbon Metabolism
NOtex,0.0,"Transport, Outer Membrane Porin"
LPLIPAL2E160,0.0,Glycerophospholipid Metabolism
LPLIPAL2E161,0.0,Glycerophospholipid Metabolism
CITt3pp,0.0,"Transport, Inner Membrane"
CRNBTCT_reverse,0.0,Oxidative Phosphorylation
EX_mobd_LPAREN_e_RPAREN_,0.0,
NDPK5_reverse,0.0,Nucleotide Salvage Pathway
THRt2rpp,0.0,"Transport, Inner Membrane"
UM4PCP,0.0,Murein Recycling
PLIPA2A141pp,0.0,Glycerophospholipid Metabolism
ECAP3pp,0.0,Lipopolysaccharide Biosynthesis / Recycling
NTP11,0.0,Nucleotide Salvage Pathway
PUNP5,0.0,Nucleotide Salvage Pathway
LALDO2x,0.0,Methylglyoxal Metabolism
ETHSO3abcpp,0.0,"Transport, Inner Membrane"
EX_acmana_LPAREN_e_RPAREN_,0.0,
12DGR160tipp,0.0,"Transport, Inner Membrane"
O2Stex,0.0,"Transport, Outer Membrane Porin"
D_DASH_LACtex,0.0,"Transport, Outer Membrane Porin"
PPA2,0.0,Anaplerotic Reactions
CRNBTCT,0.0,Oxidative Phosphorylation
VALTRS,0.0,tRNA Charging
PYDXK,0.0,Cofactor and Prosthetic Group Biosynthesis
PGPP161pp,0.0,Glycerophospholipid Metabolism
LDH_D2,0.0,Oxidative Phosphorylation
12DGR161tipp,0.0,"Transport, Inner Membrane"
3HPPtpp,0.0,"Transport, Inner Membrane"
MSO3tex_reverse,0.0,"Transport, Outer Membrane Porin"
THMDtex_reverse,0.0,"Transport, Outer Membrane Porin"
OXCDC,0.0,Alternate Carbon Metabolism
UDPGtex,0.0,"Transport, Outer Membrane Porin"
RMK,0.0,Alternate Carbon Metabolism
RMI,0.0,Alternate Carbon Metabolism
G3PEabcpp,0.0,"Transport, Inner Membrane"
GLUt2rpp_reverse,0.0,"Transport, Inner Membrane"
DKGLCNR2y,0.0,Alternate Carbon Metabolism
GALBDtex_reverse,0.0,"Transport, Outer Membrane Porin"
NO3R2pp,0.0,Oxidative Phosphorylation
FFSD,0.0,Alternate Carbon Metabolism
EX_glyc_LPAREN_e_RPAREN_,0.0,
UDPGALPpp,0.0,Alternate Carbon Metabolism
CYSDS,0.0,Cysteine Metabolism
23DAPPAtex,0.0,"Transport, Outer Membrane Porin"
GLYCtex,0.0,"Transport, Outer Membrane Porin"
EX_ni2_LPAREN_e_RPAREN_,0.0,
NADSYN_aerobic,0.0020545409138001958,
PLIPA1G120pp,0.0,Glycerophospholipid Metabolism
SELtex_reverse,0.0,"Transport, Outer Membrane Porin"
INDOLEt2pp,0.0,"Transport, Inner Membrane"
2MAHMP,0.0,Cofactor and Prosthetic Group Biosynthesis
FEENTERtonex,0.0,"Transport, Outer Membrane"
MCOATA,1.9687676620631924,Membrane Lipid Metabolism
MANGLYCtex,0.0,"Transport, Outer Membrane Porin"
EX_34dhpac_LPAREN_e_RPAREN_,0.0,
CLPNS140pp_reverse,0.0,Glycerophospholipid Metabolism
IPDDI_reverse,0.0,Cofactor and Prosthetic Group Biosynthesis
PPPNt2rpp_reverse,0.0,"Transport, Inner Membrane"
12PPDStex,0.0,"Transport, Outer Membrane Porin"
DCYTt2pp,0.0,"Transport, Inner Membrane"
GALURtex,0.0,"Transport, Outer Membrane Porin"
PPCSCT,0.0,Alternate Carbon Metabolism
LIPATPT,0.0,Cofactor and Prosthetic Group Biosynthesis
ALAt2rpp,0.0,"Transport, Inner Membrane"
23CAMPtex,0.0,"Transport, Outer Membrane Porin"
POX,0.0,Oxidative Phosphorylation
EX_n2o_LPAREN_e_RPAREN_,0.0,
MALTTRabcpp,0.0,"Transport, Inner Membrane"
EX_tsul_LPAREN_e_RPAREN_,0.0,
PA141abcpp,0.0,"Transport, Inner Membrane"
DGMPtex,0.0,"Transport, Outer Membrane Porin"
EX_gthox_LPAREN_e_RPAREN_,0.0,
PNTOt4pp,0.0,"Transport, Inner Membrane"
EX_arbtn_DASH_fe3_LPAREN_e_RPAREN_,0.0,
ACACT1r,0.0,Membrane Lipid Metabolism
DTMPK,0.022361951455351217,Nucleotide Salvage Pathway
PFK_3,1.3939824335754425,Pentose Phosphate Pathway
PFK_2,0.0,Alternate Carbon Metabolism
FE3HOXUtpp,0.0,Inorganic Ion Transport and Metabolism
GSNt2pp,0.0,"Transport, Inner Membrane"
FACOAL140t2pp,0.0,Cell Envelope Biosynthesis
NTPTP1,0.0,Nucleotide Salvage Pathway
PSD140,0.0,Glycerophospholipid Metabolism
PSD141,0.0,Glycerophospholipid Metabolism
GLYK,0.005782284081218411,Alternate Carbon Metabolism
2AGPE181tipp,0.0,"Transport, Inner Membrane"
GUAtex,0.0,"Transport, Outer Membrane"
EX_fecrm_LPAREN_e_RPAREN_,0.0,
MLDCP3App,0.001212530727976109,Murein Biosynthesis
HDCEAtexi,0.0,"Transport, Outer Membrane"
RNTR1c2,0.0,Nucleotide Salvage Pathway
DATPHs,0.0,Nucleotide Salvage Pathway
CLPNS120pp_reverse,0.0,Glycerophospholipid Metabolism
GLCNt2rpp_reverse,0.0,"Transport, Inner Membrane"
EX_his_DASH_L_LPAREN_e_RPAREN_,0.0,
MANptspp,0.0,"Transport, Inner Membrane"
EX_glyc2p_LPAREN_e_RPAREN_,0.0,
Htex_reverse,9.647837020525095,"Transport, Outer Membrane Porin"
FUCtex_reverse,0.0,"Transport, Outer Membrane Porin"
DHQTi,0.33529314384519654,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
EX_arab_DASH_L_LPAREN_e_RPAREN_,0.0,
GSNtex,0.0,"Transport, Outer Membrane Porin"
GLDBRAN2,0.0,Glycolysis/Gluconeogenesis
ALAtex_reverse,0.0,"Transport, Outer Membrane Porin"
LEUt2rpp,0.0,"Transport, Inner Membrane"
TARTRt7pp_reverse,0.0,"Transport, Inner Membrane"
SO2tpp_reverse,0.0,Inorganic Ion Transport and Metabolism
DDGLCNt2rpp,0.0,"Transport, Inner Membrane"
NI2uabcpp,0.0,Inorganic Ion Transport and Metabolism
BALAt2pp,0.0,"Transport, Inner Membrane"
GLYCPHOSPHOLIPID_8,0.05467747299812564,
ASNS2,0.2111624516544981,Alanine and Aspartate Metabolism
ASNS1,0.0,Alanine and Aspartate Metabolism
EX_fe3hox_LPAREN_e_RPAREN_,0.0,
EX_xyl_DASH_D_LPAREN_e_RPAREN_,0.0,
LPLIPAL1E120pp,0.0,Glycerophospholipid Metabolism
PSSA120,0.0,Glycerophospholipid Metabolism
ACPPAT141,0.0,Glycerophospholipid Metabolism
ACPPAT140,0.0,Glycerophospholipid Metabolism
EX_ethso3_LPAREN_e_RPAREN_,0.0,
THYMtex,0.0,"Transport, Outer Membrane Porin"
PYDXNtex_reverse,0.0,"Transport, Outer Membrane Porin"
GLYBtex,0.0,"Transport, Outer Membrane Porin"
FACOAL120t2pp,0.0,Cell Envelope Biosynthesis
Kt2pp,0.16740136124749716,Inorganic Ion Transport and Metabolism
NADPPPS,0.0016515660175855373,Cofactor and Prosthetic Group Biosynthesis
EX_trp_DASH_L_LPAREN_e_RPAREN_,0.0,
EX_sbt_DASH_D_LPAREN_e_RPAREN_,0.0,
COFACTOR_3,0.00020103669318860393,
FECRMabcpp,0.0,Inorganic Ion Transport and Metabolism
LALADGLUtex,0.0,"Transport, Outer Membrane Porin"
GLYCPHOSPHOLIPID_2,0.015960330117538314,
ACGAM1PPpp,0.0,Alternate Carbon Metabolism
CMPtex_reverse,0.0,"Transport, Outer Membrane Porin"
SELtex,0.0,"Transport, Outer Membrane Porin"
GLNS,9.047682520768918,Glutamate Metabolism
DCYTtex,0.0,"Transport, Outer Membrane"
ASNTRS,0.0,tRNA Charging
CPGNUtex,0.0,Inorganic Ion Transport and Metabolism
GALCTNLtex_reverse,0.0,"Transport, Outer Membrane Porin"
RNTR4c2,0.0,Nucleotide Salvage Pathway
PE160abcpp,0.028666209730992053,"Transport, Inner Membrane"
AKGt2rpp_reverse,0.0,"Transport, Inner Membrane"
PGSA180,0.0,Glycerophospholipid Metabolism
GLCNtex,0.0,"Transport, Outer Membrane Porin"
UDPGALM,0.0,Cell Envelope Biosynthesis
3HPPPNH,0.0,Alternate Carbon Metabolism
ADNtex_reverse,0.0,"Transport, Outer Membrane"
UACGAMtex_reverse,0.0,"Transport, Outer Membrane Porin"
FE2tex,0.013997743206903378,"Transport, Outer Membrane Porin"
ADNUC,0.0,Alternate Carbon Metabolism
ACPPAT180,0.0,Glycerophospholipid Metabolism
2AGPE120tipp,0.0,"Transport, Inner Membrane"
EX_so4_LPAREN_e_RPAREN__reverse,0.22716515273427712,
TARTRt7pp,0.0,"Transport, Inner Membrane"
2AGPA161tipp,0.0,"Transport, Inner Membrane"
EX_fe3_LPAREN_e_RPAREN_,0.0,
CLPNH141pp,0.0,Glycerophospholipid Metabolism
UAG2E,0.0,Cell Envelope Biosynthesis
GLNTRS,0.0,tRNA Charging
UMPK,0.3209843797452413,Nucleotide Salvage Pathway
G1PPpp,0.0,Glycolysis/Gluconeogenesis
MOX,0.0012936666131167325,Citric Acid Cycle
ICHORSi,0.0010051834659430198,Cofactor and Prosthetic Group Biosynthesis
URIH,0.0,Alternate Carbon Metabolism
5MTRtex,0.0,"Transport, Outer Membrane Porin"
AMPTASEPG,0.0,Arginine and Proline Metabolism
PROGLYtex_reverse,0.0,"Transport, Outer Membrane Porin"
GLYBt2pp,0.0,"Transport, Inner Membrane"
PGMT_reverse,0.17574213024023688,Alternate Carbon Metabolism
NTD3pp,0.0,Nucleotide Salvage Pathway
ACOAD3f,0.0,Membrane Lipid Metabolism
12PPDRtex,0.0,"Transport, Outer Membrane Porin"
MLDCP2Bpp,0.0,Murein Biosynthesis
CRNDabcpp,0.0,"Transport, Inner Membrane"
LACZpp,0.0,Alternate Carbon Metabolism
NTD2pp,0.0,Nucleotide Salvage Pathway
URIC,0.0,Unassigned
PYDXNtex,0.0,"Transport, Outer Membrane Porin"
GLUNpp,0.0,Glutamate Metabolism
DALAtex,0.0,"Transport, Outer Membrane Porin"
ALLPI,0.0,Alternate Carbon Metabolism
HADPCOADH3,0.0,Alternate Carbon Metabolism
EX_asp_DASH_L_LPAREN_e_RPAREN_,0.0,
CTPS2,0.14011085552460287,Purine and Pyrimidine Biosynthesis
EX_doxrbcn_LPAREN_e_RPAREN_,0.0,
CRNCBCT_reverse,0.0,Oxidative Phosphorylation
URIt2pp,0.0,"Transport, Inner Membrane"
GTHRDabcpp,0.0,"Transport, Inner Membrane"
PGPP180,0.0,Glycerophospholipid Metabolism
ADNt2rpp_reverse,0.0,"Transport, Inner Membrane"
NAtex_reverse,0.0,"Transport, Outer Membrane Porin"
CYTK2_reverse,0.0,Nucleotide Salvage Pathway
FE3DHBZR,0.0,Inorganic Ion Transport and Metabolism
GALTptspp,0.0,"Transport, Inner Membrane"
PHEt2rpp,0.0,"Transport, Inner Membrane"
CPGNtonex,0.0,"Transport, Outer Membrane"
FE3tex,0.0,"Transport, Outer Membrane Porin"
EX_taur_LPAREN_e_RPAREN_,0.0,
EX_minohp_LPAREN_e_RPAREN_,0.0,
ACGAptspp,0.0,"Transport, Inner Membrane"
EX_ca2_LPAREN_e_RPAREN__reverse,0.004464276702555905,
CS,4.305678506388412,Citric Acid Cycle
GLYCtpp,0.0,"Transport, Inner Membrane"
SFGTHi,0.0,Cofactor and Prosthetic Group Biosynthesis
PPAKr_reverse,0.0,Alternate Carbon Metabolism
ALAtex,0.0,"Transport, Outer Membrane Porin"
NO2t2rpp_reverse,0.0,Inorganic Ion Transport and Metabolism
Zn2tex,0.0002920891865161779,"Transport, Outer Membrane Porin"
GP4GH,0.0,Nucleotide Salvage Pathway
EX_zn2_LPAREN_e_RPAREN_,0.0,
COLIPAPabctex,0.0,Lipopolysaccharide Biosynthesis / Recycling
HCINNMtex,0.0,"Transport, Outer Membrane Porin"
NMNN,0.0,Cofactor and Prosthetic Group Biosynthesis
CPPPGO2,0.0,Cofactor and Prosthetic Group Biosynthesis
ALAR_reverse,0.0,Alanine and Aspartate Metabolism
FHL,0.0,Pyruvate Metabolism
EX_xan_LPAREN_e_RPAREN_,0.0,
CD2tpp,0.0,Inorganic Ion Transport and Metabolism
FE3HOXabcpp,0.0,Inorganic Ion Transport and Metabolism
THD2pp,0.0,Oxidative Phosphorylation
ACMUMptspp,0.0,"Transport, Inner Membrane"
FEOXAMUtpp,0.0,Inorganic Ion Transport and Metabolism
DURIK1,0.0,Nucleotide Salvage Pathway
ACGAL1Ptex,0.0,"Transport, Outer Membrane Porin"
TSULtex,0.0,"Transport, Outer Membrane Porin"
3NTD9pp,0.0,Nucleotide Salvage Pathway
MDDEP3pp,0.0,Murein Recycling
ACACT2r,0.0,Membrane Lipid Metabolism
FE3HOXR1,0.0,Inorganic Ion Transport and Metabolism
TARTD,0.0,Alternate Carbon Metabolism
FE3HOXR3,0.0,Inorganic Ion Transport and Metabolism
FE3HOXR2,0.0,Inorganic Ion Transport and Metabolism
PYDAMK,0.0,Cofactor and Prosthetic Group Biosynthesis
