mapping_id,rxn_id_modified,rxn_id,rxn_description,used_,comments_,reactants_elements_tracked,products_elements_tracked,reactants_trackedids,reactants_mapping,products_trackedids,products_mapping
full01,ATPS4rpp,ATPS4rpp,,TRUE,modified,C,C,1*adp_c,abcdefghij,1*atp_c,abcdefghij
full01,CBPS,CBPS,,TRUE,individual,C,C,1*gln_DASH_L_c+1*hco3_c,abcde+f,1*cbp_c+1*glu_DASH_L_c,f+abcde
full01,CHORM,CHORM,,TRUE,individual,C,C,1*chor_c,abcdefghij,1*pphn_c,ihjbcdefga
full01,CHORS,CHORS,,TRUE,individual,C,C,1*3psme_c,abcdefghij,1*chor_c,abgfedchij
full01,CO2tex,CO2tex,,TRUE,individual,C,C,1*co2_e,a,1*co2_p,a
full01,CO2tpp,CO2tpp,,TRUE,individual,C,C,1*co2_p,a,1*co2_c,a
full01,CO2tex_reverse,CO2tex_reverse,,TRUE,individual,C,C,1*co2_p,a,1*co2_e,a
full01,CO2tpp_reverse,CO2tpp_reverse,,TRUE,individual,C,C,1*co2_c,a,1*co2_p,a
full01,COASYN_Abbreviated,COASYN,"[ASP1DC,MOHMT,DPR,PANTS,PNTK,PPNCL2,PPCDC,PTPATi,DPCOAK]",FALSE,combo,C,C,1*3mob_c+1*mlthf_c+1*asp_DASH_L_c+1*cys_DASH_L_c,abcde+f+ghij+klm,1*co2_c+1*co2_c,g+k
full01,COASYN,COASYN,"[ASP1DC,MOHMT,DPR,PANTS,PNTK,PPNCL2,PPCDC,PTPATi,DPCOAK]",TRUE,combo,C,C,1*3mob_c+1*mlthf_c+1*asp_DASH_L_c+1*cys_DASH_L_c+1*atp_c,abcde+f+ghij+klm+123456789n,1*coa_c+1*co2_c+1*co2_c,123456789nfedcbajihlm+g+k
full01,ADSL1r,ADSL1r,,TRUE,added imp_to_amp,C,C,1*dcamp_c,abcdefghijklmn,1*amp_c+0.5*fum_c+0.5*fum_c,abcdefghij+klmn+nmlk
full01,ADSS,ADSS,,TRUE,added imp_to_amp,C,C,1*imp_c+1*asp_DASH_L_c,abcdefghij+klmn,1*dcamp_c,abcdefghijklmn
full01,imp_to_amp_Abbreviated,imp_to_amp,"[ADSS,ADSL1r]",FALSE,combo,C,C,1*imp_c+1*asp_DASH_L_c,abcdefghij+klmn,1*amp_c+0.5*fum_c+0.5*fum_c,abcdefghij+klmn+nmlk
full01,imp_to_amp,imp_to_amp,"[ADSS,ADSL1r]",TRUE,combo,C,C,1*imp_c+1*asp_DASH_L_c,abcdefghij+klmn,1*amp_c+0.5*fum_c+0.5*fum_c,abcdefghij+klmn+nmlk
full01,imp_to_gmp_Abbreviated,imp_to_gmp,"[IMPD,GMPS2]",FALSE,combo,C,C,1*imp_c,abcdefghij,1*gmp_c,abcdefghij
full01,imp_to_gmp,imp_to_gmp,"[IMPD,GMPS2]",TRUE,combo,C,C,1*imp_c,abcdefghij,1*gmp_c,abcdefghij
full01,chor_and_prpp_to_3ig3p,chor_and_prpp_to_3ig3p,"[ANS,ANPRT,PRAIi,IGPS]",TRUE,combo,C,C,1*chor_c+1*gln_DASH_L_c+1*prpp_c,abcdefghij+klmno+pqrst,1*3ig3p_c+1*co2_c+1*glu_DASH_L_c+1*pyr_c,tsrqbgfedcp+a+klmno+ihj
full01,ptrc_to_4abut_1,ptrc_to_4abut_1,"[PTRCTA,ABUTD]",TRUE,combo,C,C,1*akg_c+0.5*ptrc_c+0.5*ptrc_c,abcde+fghi+ihgf,1*4abut_c+1*glu_DASH_L_c,fghi+abcde
full01,ptrc_to_4abut_2,ptrc_to_4abut_2,"[GGPTRCS,GGPTRCO,GGGABADr,GGGABAH]",TRUE,combo added ptrc_to_4abut_2,C,C,0.5*ptrc_c+0.5*ptrc_c,abcd+dcba,1*4abut_c,abcd
full01,CYSTL,CYSTL,,TRUE,added hom_DASH_L_and_cyst_DASH_L_to_met_DASH_L,C,C,1*cyst_DASH_L_c,abcdefg,1*pyr_c+1*hcys_DASH_L_c+1*nh4_c,abcd+gfe
full01,hom_DASH_L_and_cyst_DASH_L_to_pyr_hcys_DASH_L,hom_DASH_L_and_cyst_DASH_L_to_pyr_hcys_DASH_L,"[HSST,SHSL1,CYSTL]",TRUE,combo,C,C,1*cys_DASH_L_c+1*hom_DASH_L_c+1*succoa_c,bcd+efgh+ABCDEFGHIJKLMNOPQRSTUijkl,1*coa_c+1*hcys_DASH_L_c+1*pyr_c+0.5*succ_c+0.5*succ_c,ABCDEFGHIJKLMNOPQRSTU+efgh+bcd+ijkl+lkji
full01,hom_DASH_L_and_cyst_DASH_L_to_pyr_hcys_DASH_L_coaNEG,hom_DASH_L_and_cyst_DASH_L_to_pyr_hcys_DASH_L,"[HSST,SHSL1,CYSTL]",FALSE,combo,C,C,1*cys_DASH_L_c+1*hom_DASH_L_c+1*succoa_c,bcd+efgh+ijkl,1*hcys_DASH_L_c+1*pyr_c+0.5*succ_c+0.5*succ_c,efgh+bcd+ijkl+lkji
full01,HSST,HSST,,TRUE,added hom_DASH_L_and_cyst_DASH_L_to_met_DASH_L,C,C,1*succoa_c+1*hom_DASH_L_c,ABCDEFGHIJKLMNOPQRSTUabcd+efgh,1*coa_c+1*suchms_c,ABCDEFGHIJKLMNOPQRSTU+efghabcd
full01,HSST_coaNEG,HSST,,FALSE,added hom_DASH_L_and_cyst_DASH_L_to_met_DASH_L,C,C,1*succoa_c+1*hom_DASH_L_c,abcd+efgh,1*suchms_c,efghabcd
full01,METS,METS,,TRUE,individual,C,C,1*hcys_DASH_L_c+1*5mthf_c,abcd+e,1*met_DASH_L_c,abcde
full01,SHSL1,SHSL1,,TRUE,added hom_DASH_L_and_cyst_DASH_L_to_met_DASH_L,C,C,1*suchms_c+1*cys_DASH_L_c,abcdefg+ijk,0.5*succ_c+0.5*succ_c+1*cyst_DASH_L_c,efgh+hgfe+abcdkji
full01,e4p_and_pep_to_3dhq,e4p_and_pep_to_3dhq,"[DDPA,DHQS]",TRUE,combo,C,C,1*e4p_c+1*pep_c,abcd+efg,1*3dhq_c,efdcbag
full01,aspsa_to_sl2a6o,aspsa_to_sl2a6o,"[DHDPS,DHDPRy,THDPS]",TRUE,combo,C,C,1*aspsa_c+1*pyr_c+1*succoa_c,abcd+efg+ABCDEFGHIJKLMNOPQRSTUhijk,1*coa_c+1*sl2a6o_c,ABCDEFGHIJKLMNOPQRSTU+abcdgfehijk
full01,aspsa_to_sl2a6o_coaNEG,aspsa_to_sl2a6o,"[DHDPS,DHDPRy,THDPS]",FALSE,combo,C,C,1*aspsa_c+1*pyr_c+1*succoa_c,abcd+efg+hijk,1*sl2a6o_c,abcdgfehijk
full01,glu_DASH_L_to_acg5p_coaNEG,glu_DASH_L_to_acg5p,"[ACGS,ACGK]",FALSE,combo,C,C,1*accoa_c+1*glu_DASH_L_c,ab+cdefg,1*acg5p_c,cdefgab
full01,glu_DASH_L_to_acg5p,glu_DASH_L_to_acg5p,"[ACGS,ACGK]",TRUE,combo,C,C,1*accoa_c+1*glu_DASH_L_c,ABCDEFGHIJKLMNOPQRSTUab+cdefg,1*acg5p_c+1*coa_c,cdefgab+ABCDEFGHIJKLMNOPQRSTU
full01,glu_DASH_L_to_glu5sa,glu_DASH_L_to_glu5sa,"[GLU5K,G5SD]",TRUE,combo,C,C,1*glu_DASH_L_c,abcde,1*glu5sa_c,abcde
full01,g1p_to_glycogen,g1p_to_glycogen,"[GLGC,GLCS1]",TRUE,combo,C,C,1*g1p_c,abcdef,1*glycogen_c,abcdef
full01,thr_DASH_L_to_gly,thr_DASH_L_to_gly,"[THRD,GLYAT]",TRUE,combo,C,C,1*coa_c+1*thr_DASH_L_c,ABCDEFGHIJKLMNOPQRSTU+abcd,1*accoa_c+1*gly_c,ABCDEFGHIJKLMNOPQRSTUcd+ab
full01,thr_DASH_L_to_gly_coaNEG,thr_DASH_L_to_gly,"[THRD,GLYAT]",FALSE,combo,C,C,1*thr_DASH_L_c,abcd,1*accoa_c+1*gly_c,cd+ab
full01,dhap_to_lac_DASH_D,dhap_to_lac_DASH_D,"[MGSA,LGTHL,GLYOX]",TRUE,combo,C,C,1*dhap_c,abc,1*lac_DASH_D_c,cba
full01,2obut_and_pyr_to_3mop,2obut_and_pyr_to_3mop,"[ACHBS,KARA2,DHAD2]",TRUE,combo,C,C,1*2obut_c+1*pyr_c,abcd+efg,1*3mop_c+1*co2_c,abfcdg+e
full01,hom_DASH_L_to_thr_DASH_L,hom_DASH_L_to_thr_DASH_L,"[HSK,THRS]",TRUE,combo,C,C,1*hom_DASH_L_c,abcd,1*thr_DASH_L_c,abcd
full01,3pg_to_ser_DASH_L,3pg_to_ser_DASH_L,"[PGCD,PSERT,PSP_L]",TRUE,combo,C,C,1*3pg_c+1*glu_DASH_L_c,abc+defgh,1*akg_c+1*ser_DASH_L_c,defgh+abc
full01,pyr_to_23dhmb,pyr_to_23dhmb,"[ACLS,KARA1]",TRUE,combo,C,C,1*pyr_c+1*pyr_c,abc+def,1*23dhmb_c+1*co2_c,debcf+a
full01,5MTRtex_reverse,5MTRtex_reverse,,TRUE,individual,C,C,1*5mtr_p,abcdef,1*5mtr_e,abcdef
full01,5MTRtpp,5MTRtpp,,TRUE,individual,C,C,1*5mtr_c,abcdef,1*5mtr_p,abcdef
full01,ADMDC_ametNEG,ADMDC,,FALSE,added met_DASH_L_and_ptrc_to_spmd_and_5mta,C,C,,,,
full01,ADMDC,ADMDC,,TRUE,added met_DASH_L_and_ptrc_to_spmd_and_5mta,C,C,1*amet_c,123456789Aabcde,1*ametam_c+1*co2_c,123456789Abcde+a
full01,EX_5mtr_LPAREN_e_RPAREN_,EX_5mtr_LPAREN_e_RPAREN_,,TRUE,individual,C,C,1*5mtr_e,abcdef,,
full01,met_DASH_L_and_ptrc_to_spmd_and_5mta,met_DASH_L_and_ptrc_to_spmd_and_5mta,"[METAT,ADMDC,SPMS]",TRUE,combo,C,C,1*met_DASH_L_c+1*atp_c+0.5*ptrc_c+0.5*ptrc_c,abcde+fghij12345+klmn+nmlk,1*co2_c+1*5mta_c+1*spmd_c+1*ade_c,a+fghije+klmndcb+12345
full01,METAT_ametNEG,METAT,,FALSE,added met_DASH_L_and_ptrc_to_spmd_and_5mta,C,C,1*met_DASH_L_c,abcde,,
full01,METAT,METAT,,TRUE,added met_DASH_L_and_ptrc_to_spmd_and_5mta,C,C,1*met_DASH_L_c+1*atp_c,abcde+123456789A,1*amet_c,123456789Aabcde
full01,MTAN,MTAN,,TRUE,individual,C,C,1*5mta_c,123456789Aa,1*ade_c+1*5mtr_c,6789A+12345a
full01,SPMS,SPMS,,TRUE,added met_DASH_L_and_ptrc_to_spmd_and_5mta,C,C,1*ametam_c+0.5*ptrc_c+0.5*ptrc_c,123456789Aabcd+efgh+hgfe,1*spmd_c+1*5mta_c,efghabc+123456789Ad
full01,CS,CS,,TRUE,individual,C,C,1*accoa_c+1*oaa_c,ABCDEFGHIJKLMNOPQRSTUab+cdef,1*cit_c+1*coa_c,fedbac+ABCDEFGHIJKLMNOPQRSTU
full01,CS_coaNEG,CS,,FALSE,individual,C,C,1*accoa_c+1*oaa_c,ab+cdef,1*cit_c,fedbac
full01,CTPS2_Abbreviated,CTPS2,,FALSE,modified CTPSYN,C,C,1*gln_DASH_L_c,abcde,1*glu_DASH_L_c,abcde
full01,CTPS2,CTPS2,,TRUE,modified CTPSYN,C,C,1*gln_DASH_L_c+1*utp_c,abcde+fghijklmn,1*glu_DASH_L_c+1*ctp_c,abcde+fghijklmn
full01,CYSDS,CYSDS,,TRUE,individual,C,C,1*cys_DASH_L_c,abc,1*pyr_c,abc
full01,CYSS,CYSS,,TRUE,individual,C,C,1*acser_c,abcde,1*ac_c+1*cys_DASH_L_c,de+abc
full01,CYTK1_Abbreviated,CYTK1,,FALSE,modified,C,C,,,,
full01,CYTK1,CYTK1,,TRUE,modified,C,C,1*atp_c+1*cmp_c,abcdefghij+klmnopqrs,1*adp_c+1*cdp_c,abcdefghij+klmnopqrs
full01,DAPDC,DAPDC,,TRUE,individual,C,C,0.5*26dap_DASH_M_c+0.5*26dap_DASH_M_c,abcdefg+gfedcba,1*co2_c+1*lys_DASH_L_c,g+abcdef
full01,DAPE,DAPE,,TRUE,individual,C,C,1*26dap_DASH_LL_c,abcdefg,0.5*26dap_DASH_M_c+0.5*26dap_DASH_M_c,abcdefg+gfedcba
full01,DAPE_reverse,DAPE_reverse,,TRUE,individual,C,C,0.5*26dap_DASH_M_c+0.5*26dap_DASH_M_c,abcdefg+gfedcba,1*26dap_DASH_LL_c,abcdefg
full01,DHAD1,DHAD1,,TRUE,individual,C,C,1*23dhmb_c,abcde,1*3mob_c,abcde
full01,DHAPT,DHAPT,,TRUE,individual,C,C,0.5*dha_c+0.5*dha_c+1*pep_c,abc+cba+def,1*dhap_c+1*pyr_c,abc+def
full01,DHQTi,DHQTi,,TRUE,individual,C,C,1*3dhq_c,abcdefg,1*3dhsk_c,abcdefg
full01,DHQTi_reverse,DHQTi_reverse,,TRUE,individual,C,C,1*3dhsk_c,abcdefg,1*3dhq_c,abcdefg
full01,D_DASH_LACt2pp,D_DASH_LACt2pp,,TRUE,individual,C,C,1*lac_DASH_D_p,abc,1*lac_DASH_D_c,abc
full01,D_DASH_LACtex,D_DASH_LACtex,,TRUE,individual,C,C,1*lac_DASH_D_e,abc,1*lac_DASH_D_p,abc
full01,D_DASH_LACt2pp_reverse,D_DASH_LACt2pp_reverse,,TRUE,individual,C,C,1*lac_DASH_D_c,abc,1*lac_DASH_D_p,abc
full01,D_DASH_LACtex_reverse,D_DASH_LACtex_reverse,,TRUE,individual,C,C,1*lac_DASH_D_p,abc,1*lac_DASH_D_e,abc
full01,dtmp_to_dttp,dtmp_to_dttp,"[DTMPK,NDPK4]",TRUE,combo; cannot be lumped,C,C,1*dtmp_c,abcdefghij,1*dttp_c,abcdefghij
full01,DTMPK_Abbreviated,DTMPK,,FALSE,added dtmp_to_dttp,C,C,,,,
full01,DTMPK,DTMPK,,TRUE,added dtmp_to_dttp,C,C,1*dtmp_c,abcdefghij,1*dtdp_c,abcdefghij
full01,NDPK4_Abbreviated,NDPK4,,FALSE,added dtmp_to_dttp,C,C,,,,
full01,NDPK4,NDPK4,,TRUE,added dtmp_to_dttp,C,C,1*dtdp_c,abcdefghij,1*dttp_c,abcdefghij
full01,TMDS_Abbreviated,TMDS,,FALSE,combo,C,C,,,,
full01,TMDS,TMDS,,TRUE,combo,C,C,1*dump_c+1*mlthf_c,abcdefghi+j,1*dtmp_c,abcdefghij
full01,udp_to_dump_aerobic_Abbreviated,udp_to_dump_aerobic,"['RNDR4','NDPK6','DUTPDP']",FALSE,combo,C,C,,,,
full01,udp_to_dump_aerobic,udp_to_dump_aerobic,"['RNDR4','NDPK6','DUTPDP']",TRUE,combo,C,C,1*udp_c,abcdefghi,1*dump_c,abcdefghi
full01,utp_to_dump_anaerobic_Abbreviated,utp_to_dump_anaerobic,"['RNTR4c2','DUTPDP']",FALSE,combo,C,C,,,,
full01,utp_to_dump_anaerobic,utp_to_dump_anaerobic,"['RNTR4c2','DUTPDP']",TRUE,combo,C,C,1*utp_c,abcdefghi,1*dump_c,abcdefghi
full01,EDA,EDA,,TRUE,individual,C,C,1*2ddg6p_c,abcdef,1*g3p_c+1*pyr_c,def+abc
full01,EDD,EDD,,TRUE,individual,C,C,1*6pgc_c,abcdef,1*2ddg6p_c,abcdef
full01,ENO,ENO,,TRUE,individual,C,C,1*2pg_c,abc,1*pep_c,abc
full01,ENO_reverse,ENO_reverse,,TRUE,individual,C,C,1*pep_c,abc,1*2pg_c,abc
full01,ETOHtex,ETOHtex,,TRUE,individual,C,C,1*etoh_e,ab,1*etoh_p,ab
full01,ETOHtrpp,ETOHtrpp,,TRUE,individual,C,C,1*etoh_p,ab,1*etoh_c,ab
full01,ETOHtex_reverse,ETOHtex_reverse,,TRUE,individual,C,C,1*etoh_p,ab,1*etoh_e,ab
full01,ETOHtrpp_reverse,ETOHtrpp_reverse,,TRUE,individual,C,C,1*etoh_c,ab,1*etoh_p,ab
full01,EX_ac_LPAREN_e_RPAREN_,EX_ac_LPAREN_e_RPAREN_,,TRUE,individual,C,C,1*ac_e,ab,,
full01,EX_co2_LPAREN_e_RPAREN_,EX_co2_LPAREN_e_RPAREN_,,TRUE,individual,C,C,1*co2_e,a,,
full01,EX_etoh_LPAREN_e_RPAREN_,EX_etoh_LPAREN_e_RPAREN_,,TRUE,individual,C,C,1*etoh_e,ab,,
full01,EX_for_LPAREN_e_RPAREN_,EX_for_LPAREN_e_RPAREN_,,TRUE,individual,C,C,1*for_e,a,,
full01,EX_fum_LPAREN_e_RPAREN_,EX_fum_LPAREN_e_RPAREN_,,TRUE,individual,C,C,1*fum_e,abcd,,
full01,EX_glc_LPAREN_e_RPAREN_,EX_glc_LPAREN_e_RPAREN_,,TRUE,individual,C,C,1*glc_DASH_D_e,abcdef,,
full01,EX_glyc_LPAREN_e_RPAREN_,EX_glyc_LPAREN_e_RPAREN_,,TRUE,individual,C,C,1*glyc_e,abc,,
full01,EX_lac_DASH_D_LPAREN_e_RPAREN_,EX_lac_DASH_D_LPAREN_e_RPAREN_,,TRUE,individual,C,C,1*lac_DASH_D_e,abc,,
full01,EX_lac_DASH_L_LPAREN_e_RPAREN_,EX_lac_DASH_L_LPAREN_e_RPAREN_,,TRUE,individual,C,C,1*lac_DASH_L_e,abc,,
full01,EX_pyr_LPAREN_e_RPAREN_,EX_pyr_LPAREN_e_RPAREN_,,TRUE,individual,C,C,1*pyr_e,abc,,
full01,EX_succ_LPAREN_e_RPAREN_,EX_succ_LPAREN_e_RPAREN_,,TRUE,individual,C,C,1*succ_e,abcd,,
full01,F6PA,F6PA,,TRUE,individual,C,C,1*f6p_c,abcdef,0.5*dha_c+0.5*dha_c+1*g3p_c,abc+cba+def
full01,F6PA_reverse,F6PA_reverse,,TRUE,individual,C,C,0.5*dha_c+0.5*dha_c+1*g3p_c,abc+cba+def,1*f6p_c,abcdef
full01,APRAUR,APRAUR,,TRUE,added FADSYN,C,C,1*5apru_c,abcdefghi,1*5aprbu_c,abcdefghi
full01,DB4PS,DB4PS,,TRUE,added FADSYN,C,C,1*ru5p_DASH_D_c,abcde,1*db4p_c+1*for_c,bcde+a
full01,DHPPDA2,DHPPDA2,,TRUE,added FADSYN,C,C,1*25drapp_c,abcdefghi,1*5apru_c,abcdefghi
full01,FADSYN,FADSYN,"[GTPCII2,DHPPDA2,APRAUR,PMDPHT,DB4PS,RBFSa,RBFSb,RBFK,FMNAT]",TRUE,combo,C,C,,,,
full01,FADSYN_1_Abbreviated,FADSYN_1,"[GTPCII2,DHPPDA2,APRAUR,PMDPHT,RBFSb]",FALSE,combo,C,C,1*gtp_c,abcdefghij,1*for_c,j
full01,FADSYN_1,FADSYN_1,"[GTPCII2,DHPPDA2,APRAUR,PMDPHT,RBFSb]",TRUE,combo,C,C,1*gtp_c+1*ru5p_DASH_D_c,abcdefghij+klmno,1*4r5au_c+1*for_c+1*db4p_c+1*for_c,abcdefghi+j+lmno+k
full01,FADSYN_2,FADSYN_2,"[RBFSa,DB4PS]",TRUE,combo,C,C,1*ru5p_DASH_D_c,abcde,1*for_c,a
full01,FADSYN_3_Abbreviated,FADSYN_3,"[RBFK,FMNAT]",FALSE,combo,C,C,,,,
full01,FADSYN_3,FADSYN_3,"[RBFK,FMNAT]",TRUE,combo,C,C,1*ribflv_c+1*atp_c,abcdefghijklmnopq+ABCDEFGHIJ,1*fad_c,abcdefghijklmnopqABCDEFGHIJ
full01,FMNAT,FMNAT,,TRUE,added FADSYN,C,C,1*fmn_c+1*atp_c,abcdefghijklmnopq+ABCDEFGHIJ,1*fad_c,abcdefghijklmnopqABCDEFGHIJ
full01,GTPCII2,GTPCII2,,TRUE,added FADSYN,C,C,1*gtp_c,abcdefghij,1*25drapp_c+1*for_c,abcdefghi+j
full01,PMDPHT,PMDPHT,,TRUE,added FADSYN,C,C,1*5aprbu_c,abcdefghi,1*4r5au_c,abcdefghi
full01,RBFK,RBFK,,TRUE,added FADSYN,C,C,1*ribflv_c,abcdefghijklmnopq,1*fmn_c,abcdefghijklmnopq
full01,RBFSa,RBFSa,,TRUE,added FADSYN,C,C,1*4r5au_c+1*db4p_c,abcdefghi+jklm,0.5*dmlz_c+0.5*dmlz_c,abcdefghijklm+abcdefghimlkj
full01,RBFSb,RBFSb,,TRUE,added FADSYN,C,C,2*dmlz_c,abcdefghijklm+ABCDEFGHIJKLM,0.5*4r5au_c+0.5*ribflv+0.5*4r5au_c+0.5*ribflv,abcdefghi+ABCDEFGHIJKLMjklm+ABCDEFGHI+abcdefghiJKLM
full01,FBA,FBA,,TRUE,individual,C,C,1*fdp_c,abcdef,1*dhap_c+1*g3p_c,abc+def
full01,FBA_reverse,FBA_reverse,,TRUE,individual,C,C,1*dhap_c+1*g3p_c,abc+def,1*fdp_c,abcdef
full01,FBP,FBP,,TRUE,individual,C,C,1*fdp_c,abcdef,1*f6p_c,abcdef
full01,FDH2,FDH2,,TRUE,individual,C,C,1*for_c,a,1*co2_c,a
full01,FDH3,FDH3,,TRUE,individual,C,C,1*for_c,a,1*co2_c,a
