sample_id,sample_name_short,sample_name_abbreviation,sample_date,time_point,sample_condition,extraction_method_id,biological_material,sample_description,sample_replicate,is_added,is_added_units,reconsitution_volume,reconstitution_volume_units,istechnical,sample_replicate_biological
131206_0_OxicEvo04EcoliGlcM9_Filtrate-2,OxicEvo04Glc_Filtrate-1,OxicEvo04Glc,12/6/2013,0,OxicEvo04EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Filtrate,2,0.025,mL,0.25,mL,TRUE,1
131206_0_OxicEvo04EcoliGlcM9_Filtrate-3,OxicEvo04Glc_Filtrate-1,OxicEvo04Glc,12/6/2013,0,OxicEvo04EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Filtrate,3,0.025,mL,0.25,mL,TRUE,1
131206_0_OxicEvo04EcoliGlcM9_Broth-4,OxicEvo04Glc_Broth-1,OxicEvo04Glc,12/6/2013,0,OxicEvo04EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,4,0.025,mL,0.25,mL,TRUE,1
131206_0_OxicEvo04EcoliGlcM9_Broth-5,OxicEvo04Glc_Broth-2,OxicEvo04Glc,12/6/2013,0,OxicEvo04EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,5,0.025,mL,0.25,mL,TRUE,2
131206_0_OxicEvo04EcoliGlcM9_Broth-6,OxicEvo04Glc_Broth-3,OxicEvo04Glc,12/6/2013,0,OxicEvo04EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,6,0.025,mL,0.25,mL,TRUE,3
131206_0_OxicEvo08EcoliGlcM9_Filtrate-2,OxicEvo08Glc_Filtrate-1,OxicEvo08Glc,12/6/2013,0,OxicEvo08EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Filtrate,2,0.025,mL,0.25,mL,TRUE,1
131206_0_OxicEvo08EcoliGlcM9_Filtrate-3,OxicEvo08Glc_Filtrate-1,OxicEvo08Glc,12/6/2013,0,OxicEvo08EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Filtrate,3,0.025,mL,0.25,mL,TRUE,1
131206_0_OxicEvo08EcoliGlcM9_Broth-4,OxicEvo08Glc_Broth-1,OxicEvo08Glc,12/6/2013,0,OxicEvo08EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,4,0.025,mL,0.25,mL,TRUE,1
131206_0_OxicEvo08EcoliGlcM9_Broth-5,OxicEvo08Glc_Broth-2,OxicEvo08Glc,12/6/2013,0,OxicEvo08EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,5,0.025,mL,0.25,mL,TRUE,2
131206_0_OxicEvo08EcoliGlcM9_Broth-6,OxicEvo08Glc_Broth-3,OxicEvo08Glc,12/6/2013,0,OxicEvo08EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,6,0.025,mL,0.25,mL,TRUE,3
131206_0_OxicEvo09EcoliGlcM9_Filtrate-2,OxicEvo09Glc_Filtrate-1,OxicEvo09Glc,12/6/2013,0,OxicEvo09EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Filtrate,2,0.025,mL,0.25,mL,TRUE,1
131206_0_OxicEvo09EcoliGlcM9_Filtrate-3,OxicEvo09Glc_Filtrate-1,OxicEvo09Glc,12/6/2013,0,OxicEvo09EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Filtrate,3,0.025,mL,0.25,mL,TRUE,1
131206_0_OxicEvo09EcoliGlcM9_Broth-4,OxicEvo09Glc_Broth-1,OxicEvo09Glc,12/6/2013,0,OxicEvo09EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,4,0.025,mL,0.25,mL,TRUE,1
131206_0_OxicEvo09EcoliGlcM9_Broth-5,OxicEvo09Glc_Broth-2,OxicEvo09Glc,12/6/2013,0,OxicEvo09EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,5,0.025,mL,0.25,mL,TRUE,2
131206_0_OxicEvo09EcoliGlcM9_Broth-6,OxicEvo09Glc_Broth-3,OxicEvo09Glc,12/6/2013,0,OxicEvo09EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,6,0.025,mL,0.25,mL,TRUE,3
131206_0_QC-4,QC-4,QC,12/6/2013,0,PoolOxicWTEcoliM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,4,0.025,mL,0.25,mL,TRUE,1
131206_0_QC-5,QC-5,QC,12/6/2013,0,PoolOxicWTEcoliM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,5,0.025,mL,0.25,mL,TRUE,1
131206_0_QC-6,QC-6,QC,12/6/2013,0,PoolOxicWTEcoliM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,6,0.025,mL,0.25,mL,TRUE,1
