10fthf             ,10-Formyltetrahydrofolate                    
gdp                ,GDP                                          
glc-D         ,D-Glucose                                    
gln-L              ,L-Glutamine                                  
glu5p              ,L-Glutamate 5-phosphate                      
glu5sa             ,L-Glutamate 5-semialdehyde                   
glu-D     ,D-Glutamate                                  
glu-L              ,L-Glutamate                                  
gly                ,Glycine                                      
glyc               ,Glycerol                                     
glyc3p       ,Glycerol 3-phosphate                         
glycogen   ,glycogen                                     
gmhep17bp    ,"D-Glycero-D-manno-heptose 1,7-bisphosphate   "
gmhep1p      ,D-Glycero-D-manno-heptose 1-phosphate        
gmhep7p  ,D-Glycero-D-manno-heptose 7-phosphate        
gmp                ,GMP                                          
gtp                ,GTP                                          
h                  ,H+                                           
h2o                ,H2O                                         
h2s                ,Hydrogen sulfide                             
hco3               ,Bicarbonate                                  
hcys-L      ,L-Homocysteine                               
hdca               ,Hexadecanoate (n-C16:0)                      
hdcea              ,hexadecenoate (n-C16:1)                      
hdeACP      ,Hexadecenoyl-ACP (n-C16:1ACP)                
his-L              ,L-Histidine                                  
hisp               ,L-Histidinol phosphate                       
histd              ,L-Histidinol                          
hom-L          ,L-Homoserine                                 
icit               ,Isocitrate                                   
ile-L              ,L-Isoleucine                                 
imacp        ,3-(Imidazol-4-yl)-2-oxopropyl phosphate      
imp                ,IMP                                          
Indole   ,Indole                                       
kdo                ,3-Deoxy-D-manno-2-octulosonate               
kdo2lipid4 ,KDO(2)-lipid IV(A)                           
kdo2lipid4L,KDO(2)-lipid IV(A) with laurate              
kdo8p        ,3-Deoxy-D-manno-octulosonate 8-phosphate     
kdolipid4    ,KDO-lipid IV(A)                              
lac-D              ,D-Lactate                                    
leu-L              ,L-Leucine                                    
lipa               ,KDO(2)-lipid (A)                             
lipidA     ,"2,3,2'3'-Tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosam     "
lipidAds      ,Lipid A Disaccharide                         
lipidX     ,"2,3-Bis(3-hydroxytetradecanoyl)-beta-D-glucosaminyl 1-phosphate    "
lps_EC      ,lipopolysaccharide (Ecoli)                   
lys-L              ,L-Lysine                                     
malACP      ,Malonyl-[acyl-carrier protein]               
malcoa       ,Malonyl-CoA                                  
mal-L        ,L-Malate                                     
methf              ,"5,10-Methenyltetrahydrofolate               "
met-L         ,L-Methionine                                 
mlthf              ,"5,10-Methylenetetrahydrofolate               "
myrsACP    ,Myristoyl-ACP (n-C14:0ACP)                  
nad                ,Nicotinamide adenine dinucleotide            
nadh               ,Nicotinamide adenine dinucleotide - reduced  
nadp               ,Nicotinamide adenine dinucleotide phosphate  
nadph  ,Nicotinamide adenine dinucleotide phosphate- reduced 
nh4                ,ammonium                                     
o2                 ,O2                                           
oaa                ,Oxaloacetate                                 
ocdcea        ,octadecenoate (n-C18:1)                      
octeACP        ,Octadecenoyl-ACP (n-C18:1ACP)                
orn                ,Ornithine                                    
orot               ,Orotate                                      
orot5p             ,Orotidine 5'-phosphate                       
pa_EC     ,phosphatidate  (E.coli) **                   
palmACP   ,Palmitoyl-ACP (n-C16:0ACP)                   
pap             ,"Adenosine 3',5'-bisphosphate                 "
paps           ,3'-Phosphoadenylyl sulfate                   
pe_EC          ,Phosphatidylethanolamine (Ecoli) **          
pep                ,Phosphoenolpyruvate                          
peptido_EC   ,Peptidoglycan subunit of Escherichia coli    
pg_EC       ,Phosphatidylglycerol (Ecoli) **              
pgp_EC   ,Phosphatidylglycerophosphate (Ecoli) **      
phe-L          ,L-Phenylalanine                              
phpyr              ,Phenylpyruvate                               
pi                 ,Phosphate                                    
pphn               ,Prephenate                                  
ppi                ,Diphosphate                                  
pram               ,5-Phospho-beta-D-ribosylamine                
pran               ,N-(5-Phospho-D-ribosyl)anthranilate          
prbamp ,1-(5-Phosphoribosyl)-AMP                     
prbatp             ,1-(5-Phosphoribosyl)-ATP                     
prfp     ,1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4
prlp     ,5-[(5-phospho-1-deoxyribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosy
pro-L           ,L-Proline                                    
prpp               ,5-Phospho-alpha-D-ribose 1-diphosphate       
ps_EC       ,phosphatidylserine (Ecoli) **                
pser-L             ,O-Phospho-L-serine                           
ptrc               ,Putrescine                                  
pyr                ,Pyruvate                                     
q8                 ,Ubiquinone-8                                 
q8h2               ,Ubiquinol-8                                  
r1p                ,alpha-D-Ribose 1-phosphate                   
r5p                ,alpha-D-Ribose 5-phosphate                   
RNAtot    ,Ribonucleic acid total                       
ru5p-D     ,D-Ribulose 5-phosphate                       
s7p                ,Sedoheptulose 7-phosphate                    
ser-L              ,L-Serine                                     
skm                ,Shikimate                                    
skm5p        ,Shikimate 5-phosphate                        
sl26da             ,"N-Succinyl-LL-2,6-diaminoheptanedioate       "
sl2a6o             ,N-Succinyl-2-L-amino-6-oxoheptanedioate      
so3                ,Sulfite                                      
so4                ,Sulfate                                      
spmd            ,Spermidine                                   
succ               ,Succinate                                    
succoa       ,Succinyl-CoA                                 
suchms    ,O-Succinyl-L-homoserine                      
tdeACP     ,Tetradecenoyl-ACP (n-C14:1ACP)               
thdp               ,"2,3,4,5-Tetrahydrodipicolinate               "
thf                ,"5,6,7,8-Tetrahydrofolate                     "
thr-L              ,L-Threonine                                  
trdox              ,Oxidized thioredoxin                         
trdrd              ,Reduced thioredoxin                          
trp-L              ,L-Tryptophan                                 
ttdca              ,tetradecanoate (n-C14:0)                     
ttdcea       ,tetradecenoate (n-C14:1)                     
tyr-L              ,L-Tyrosine                                   
u23ga       ,"UDP-2,3-bis(3-hydroxytetradecanoyl) glucosamine"
u3aga   ,UDP-3-O-(3-hydroxytetradecanoyl)- N-acetylglucosamine    
u3hga    ,UDP-3-O-(3-hydroxytetradecanoyl)- D-glucosamine   
uaagmda     ,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-ala-D-glu-m    
uaccg        ,UDP-N-acetyl-3-O-(1-carboxyvinyl)- D-glucosamine    
uacgam       ,UDP-N-acetyl-D-glucosamine                  
uagmda     ,"Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diamin    "
uama           ,UDP-N-acetylmuramoyl-L-alanine               
uamag        ,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate    
uamr               ,UDP-N-acetylmuramate                         
udcpdp     ,Undecaprenyl diphosphate                     
udcpp         ,Undecaprenyl phosphate                       
udp                ,UDP                                          
udpg               ,UDPglucose                                   
ugmd     ,"UDP-N-acetylmuramoyl-L-alanyl- D-gamma-glutamyl-meso-2,6-diaminopimelate"
ugmda     ,"UDP-N-acetylmuramoyl-L-alanyl- D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-    "
ump                ,UMP                                          
utp                ,UTP                                          
val-L              ,L-Valine                                     
xmp                ,Xanthosine 5'-phosphate                      
xu5p-D     ,D-Xylulose 5-phosphate                       
