exp_type_id,experimentor_id,is_id,experiment_id,sample_id,sample_name_short,sample_name_abbreviation,sample_date,time_point,sample_condition,extraction_method_id,biological_material,sample_description,sample_replicate,sample concentration [g/l],is_added,is_added_units,reconsitution_volume,reconstitution_volume_units,calculated extracted biomass density,sample_replicate_biological,istechnical,growth_condition_short,growth_condition_long,media_short,media_long,isoxic,temperature,supplementation,od600,vcd,culture_density,mass before sampling [g],mass after sampling [g],mass sampled [g],culture_volume_sampled,cells,dcw,wcw,vcd_units,culture_density_units,culture_volume_sampled_units,dcw_units,wcw_units,final extracted sample concentration calculated [g/l],dilution volume calculated [ml],notes,acquisition_method_id,quantitation_method_id,sample_type,sample_label,ph,box,pos
4,2,,recoveryExperiment01,140509_DE05,DE05,DE,140509,0,StandardsDirectExtraction,Aqueous acetonitrile filtration,Standards,Broth,5,,0,mL,0.1,mL,,1,TRUE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,DE,7,,
4,2,,recoveryExperiment01,140509_DE06,DE06,DE,140509,0,StandardsDirectExtraction,Aqueous acetonitrile filtration,Standards,Broth,6,,0,mL,0.1,mL,,2,TRUE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,DE,7,,
4,2,,recoveryExperiment01,140509_DE07,DE07,DE,140509,0,StandardsDirectExtraction,Aqueous acetonitrile filtration,Standards,Broth,7,,0,mL,0.1,mL,,3,TRUE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,DE,7,,
4,2,,recoveryExperiment01,140509_DE08,DE08,DE,140509,0,StandardsDirectExtraction,Aqueous acetonitrile filtration,Standards,Broth,8,,0,mL,0.1,mL,,4,TRUE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,DE,7,,
4,2,,recoveryExperiment01,140509_CF05,CF05,CF,140509,0,StandardsCentrivap,Aqueous acetonitrile filtration,Standards,Broth,5,,0,mL,0.1,mL,,1,TRUE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,CEN,7,,
4,2,,recoveryExperiment01,140509_CF06,CF06,CF,140509,0,StandardsCentrivap,Aqueous acetonitrile filtration,Standards,Broth,6,,0,mL,0.1,mL,,2,TRUE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,CEN,7,,
4,2,,recoveryExperiment01,140509_CF07,CF07,CF,140509,0,StandardsCentrivap,Aqueous acetonitrile filtration,Standards,Broth,7,,0,mL,0.1,mL,,3,TRUE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,CEN,7,,
4,2,,recoveryExperiment01,140509_CF08,CF08,CF,140509,0,StandardsCentrivap,Aqueous acetonitrile filtration,Standards,Broth,8,,0,mL,0.1,mL,,4,TRUE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,CEN,7,,
4,2,,recoveryExperiment01,140509_SST05,SST05,SST,140509,0,StandardsSystemSuitabilityTest,Aqueous acetonitrile filtration,Standards,Broth,5,,0,mL,0.1,mL,,1,TRUE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,SST,7,,
4,2,,recoveryExperiment01,140509_SST06,SST06,SST,140509,0,StandardsSystemSuitabilityTest,Aqueous acetonitrile filtration,Standards,Broth,6,,0,mL,0.1,mL,,2,TRUE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,SST,7,,
4,2,,recoveryExperiment01,140509_SST07,SST07,SST,140509,0,StandardsSystemSuitabilityTest,Aqueous acetonitrile filtration,Standards,Broth,7,,0,mL,0.1,mL,,3,TRUE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,SST,7,,
4,2,,recoveryExperiment01,140509_SST08,SST08,SST,140509,0,StandardsSystemSuitabilityTest,Aqueous acetonitrile filtration,Standards,Broth,8,,0,mL,0.1,mL,,4,TRUE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,SST,7,,
