exp_type_id,experiment_id,sample_id,sample_label,Line#,Location,Inj#,Type,data_raw,data_corrected,data_units,data_reference,met_id,used_,notes
7,ALEsKOs01,140908_4_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.4,13,Vial 11,1,BB  ,18.610,18.610,min,HPLC,ac,TRUE,
7,ALEsKOs01,140908_4_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.4,14,Vial 12,1,BB  ,18.605,18.605,min,HPLC,ac,TRUE,
7,ALEsKOs01,140908_5_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.5,15,Vial 13,1,BB  ,18.607,18.607,min,HPLC,ac,TRUE,
7,ALEsKOs01,140908_5_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.5,16,Vial 14,1,BB  ,18.610,18.610,min,HPLC,ac,TRUE,
7,ALEsKOs01,140908_5_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.5,17,Vial 15,1,BB  ,18.609,18.609,min,HPLC,ac,TRUE,
7,ALEsKOs01,140908_1_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.1,3,Vial 1,1,BB  ,,21.95850,mM,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_1_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.1,4,Vial 2,1,BB  ,,21.93430,mM,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_1_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.1,5,Vial 3,1,BB  ,,21.91873,mM,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_2_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.2,6,Vial 4,1,BB  ,,20.97485,mM,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_2_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.2,7,Vial 5,1,BB  ,,20.80856,mM,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_2_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.2,8,Vial 6,1,BB  ,,20.90260,mM,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_3_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.3,9,Vial 7,1,BB  ,,19.14071,mM,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_3_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.3,10,Vial 8,1,BB  ,,18.88458,mM,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_3_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.3,11,Vial 9,1,BB  ,,18.98622,mM,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_4_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.4,12,Vial 10,1,BB  ,,17.21176,mM,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_4_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.4,13,Vial 11,1,BB  ,,16.84429,mM,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_4_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.4,14,Vial 12,1,BB  ,,17.06637,mM,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_5_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.5,15,Vial 13,1,BB  ,,14.83081,mM,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_5_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.5,16,Vial 14,1,BB  ,,14.35929,mM,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_5_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.5,17,Vial 15,1,BB  ,,14.67940,mM,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_2_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.2,8,Vial 6,1,BB  ,,0.01041,mM,HPLC,glyc,FALSE,
7,ALEsKOs01,140908_3_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.3,9,Vial 7,1,BB  ,,0.00657,mM,HPLC,glyc,FALSE,
7,ALEsKOs01,140908_3_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.3,10,Vial 8,1,BB  ,,0.00967,mM,HPLC,glyc,FALSE,
7,ALEsKOs01,140908_4_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.4,12,Vial 10,1,BB  ,,0.01062,mM,HPLC,glyc,FALSE,
7,ALEsKOs01,140908_4_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.4,14,Vial 12,1,BB  ,,0.00850,mM,HPLC,glyc,FALSE,
7,ALEsKOs01,140908_5_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.5,15,Vial 13,1,BB  ,,0.00841,mM,HPLC,glyc,FALSE,
7,ALEsKOs01,140908_5_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.5,16,Vial 14,1,BB  ,,0.01041,mM,HPLC,glyc,FALSE,
7,ALEsKOs01,140908_5_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.5,17,Vial 15,1,BB  ,,0.01085,mM,HPLC,glyc,FALSE,
7,ALEsKOs01,140908_1_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.1,3,Vial 1,1,BB  ,,0.78636,mM,HPLC,ac,TRUE,
7,ALEsKOs01,140908_1_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.1,4,Vial 2,1,BB  ,,0.83900,mM,HPLC,ac,TRUE,
7,ALEsKOs01,140908_1_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.1,5,Vial 3,1,BB  ,,0.76739,mM,HPLC,ac,TRUE,
7,ALEsKOs01,140908_2_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.2,6,Vial 4,1,BB  ,,1.63477,mM,HPLC,ac,TRUE,
7,ALEsKOs01,140908_2_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.2,7,Vial 5,1,BB  ,,1.82815,mM,HPLC,ac,TRUE,
7,ALEsKOs01,140908_2_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.2,8,Vial 6,1,BB  ,,1.72152,mM,HPLC,ac,TRUE,
7,ALEsKOs01,140908_3_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.3,9,Vial 7,1,BB  ,,3.06404,mM,HPLC,ac,TRUE,
7,ALEsKOs01,140908_3_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.3,10,Vial 8,1,BB  ,,3.27470,mM,HPLC,ac,TRUE,
7,ALEsKOs01,140908_3_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.3,11,Vial 9,1,BB  ,,3.25777,mM,HPLC,ac,TRUE,
7,ALEsKOs01,140908_4_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.4,12,Vial 10,1,BB  ,,4.46356,mM,HPLC,ac,TRUE,
7,ALEsKOs01,140908_4_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.4,13,Vial 11,1,BB  ,,4.69959,mM,HPLC,ac,TRUE,
7,ALEsKOs01,140908_4_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.4,14,Vial 12,1,BB  ,,4.62250,mM,HPLC,ac,TRUE,
7,ALEsKOs01,140908_5_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.5,15,Vial 13,1,BB  ,,5.98016,mM,HPLC,ac,TRUE,
7,ALEsKOs01,140908_5_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.5,16,Vial 14,1,BB  ,,6.17584,mM,HPLC,ac,TRUE,
7,ALEsKOs01,140908_5_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.5,17,Vial 15,1,BB  ,,5.99248,mM,HPLC,ac,TRUE,
7,ALEsKOs01,140908_1_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.1,3,Vial 1,1,BB  ,772911.31250,772911.31250,Area,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_1_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.1,4,Vial 2,1,BB  ,772062.25000,772062.25000,Area,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_1_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.1,5,Vial 3,1,BB  ,771515.93750,771515.93750,Area,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_2_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.2,6,Vial 4,1,BB  ,738398.50000,738398.50000,Area,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_2_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.2,7,Vial 5,1,BB  ,732563.81250,732563.81250,Area,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_2_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.2,8,Vial 6,1,BB  ,735863.56250,735863.56250,Area,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_3_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.3,9,Vial 7,1,BB  ,674044.93750,674044.93750,Area,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_3_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.3,10,Vial 8,1,BB  ,665058.50000,665058.50000,Area,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_3_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.3,11,Vial 9,1,BB  ,668624.50000,668624.50000,Area,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_4_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.4,12,Vial 10,1,BB  ,606365.06250,606365.06250,Area,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_4_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.4,13,Vial 11,1,BB  ,593471.81250,593471.81250,Area,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_4_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.4,14,Vial 12,1,BB  ,601264.00000,601264.00000,Area,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_5_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.5,15,Vial 13,1,BB  ,522826.25000,522826.25000,Area,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_5_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.5,16,Vial 14,1,BB  ,506282.18750,506282.18750,Area,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_5_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.5,17,Vial 15,1,BB  ,517513.53125,517513.53125,Area,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_2_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.2,8,Vial 6,1,BB  ,1254.41028,1254.41028,Area,HPLC,glyc,FALSE,
7,ALEsKOs01,140908_3_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.3,9,Vial 7,1,BB  ,1195.90540,1195.90540,Area,HPLC,glyc,FALSE,
7,ALEsKOs01,140908_3_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.3,10,Vial 8,1,BB  ,1243.13989,1243.13989,Area,HPLC,glyc,FALSE,
7,ALEsKOs01,140908_4_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.4,12,Vial 10,1,BB  ,1257.52673,1257.52673,Area,HPLC,glyc,FALSE,
7,ALEsKOs01,140908_4_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.4,14,Vial 12,1,BB  ,1225.32458,1225.32458,Area,HPLC,glyc,FALSE,
7,ALEsKOs01,140908_5_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.5,15,Vial 13,1,BB  ,1223.99341,1223.99341,Area,HPLC,glyc,FALSE,
7,ALEsKOs01,140908_5_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.5,16,Vial 14,1,BB  ,1254.35742,1254.35742,Area,HPLC,glyc,FALSE,
7,ALEsKOs01,140908_5_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.5,17,Vial 15,1,BB  ,1261.10303,1261.10303,Area,HPLC,glyc,FALSE,
7,ALEsKOs01,140908_1_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.1,3,Vial 1,1,BB  ,4477.57227,4477.57227,Area,HPLC,ac,TRUE,
7,ALEsKOs01,140908_1_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.1,4,Vial 2,1,BB  ,4757.70703,4757.70703,Area,HPLC,ac,TRUE,
7,ALEsKOs01,140908_1_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.1,5,Vial 3,1,BB  ,4376.62451,4376.62451,Area,HPLC,ac,TRUE,
7,ALEsKOs01,140908_2_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.2,6,Vial 4,1,BB  ,8992.49805,8992.49805,Area,HPLC,ac,TRUE,
7,ALEsKOs01,140908_2_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.2,7,Vial 5,1,BB  ,10021.60254,10021.60254,Area,HPLC,ac,TRUE,
7,ALEsKOs01,140908_2_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.2,8,Vial 6,1,BB  ,9454.17285,9454.17285,Area,HPLC,ac,TRUE,
7,ALEsKOs01,140908_3_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.3,9,Vial 7,1,BB  ,16598.52344,16598.52344,Area,HPLC,ac,TRUE,
7,ALEsKOs01,140908_3_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.3,10,Vial 8,1,BB  ,17719.56445,17719.56445,Area,HPLC,ac,TRUE,
7,ALEsKOs01,140908_3_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.3,11,Vial 9,1,BB  ,17629.50781,17629.50781,Area,HPLC,ac,TRUE,
7,ALEsKOs01,140908_4_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.4,12,Vial 10,1,BB  ,24046.23828,24046.23828,Area,HPLC,ac,TRUE,
7,ALEsKOs01,140908_4_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.4,13,Vial 11,1,BB  ,25302.32227,25302.32227,Area,HPLC,ac,TRUE,
7,ALEsKOs01,140908_4_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.4,14,Vial 12,1,BB  ,24892.03320,24892.03320,Area,HPLC,ac,TRUE,
7,ALEsKOs01,140908_5_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.5,15,Vial 13,1,BB  ,32117.01953,32117.01953,Area,HPLC,ac,TRUE,
7,ALEsKOs01,140908_5_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.5,16,Vial 14,1,BB  ,33158.30859,33158.30859,Area,HPLC,ac,TRUE,
7,ALEsKOs01,140908_5_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.5,17,Vial 15,1,BB  ,32182.55469,32182.55469,Area,HPLC,ac,TRUE,
