Acq. Index - 1,Baseline Sub. Window,Comment,Expected RT,Experiment,Extraction Type,Group Name,IS,IS Name,Min Peak Height,Min Peak Width,Name,Noise Percentage,Peak Splitting Factor,Period,Q1 Mass - 1,Q3 Mass - 1,Regression Type,Regression Weighting,Report Largest Peak,RT Window,Smoothing Width,Units,Update RT,Use Area
42,2,,1.3,1,MRM,AICAr,True,,0,3,AICAr.AICAr_1.Heavy,40,2,1,266,129,,,True,30,0,uM,0,
44,2,,1.35,1,MRM,tyr-L,True,,0,3,tyr-L.tyr-L_1.Heavy,40,2,1,189,172,,,True,30,0,uM,0,
47,2,,1.41,1,MRM,xan,True,,0,3,xan.xan_1.Heavy,40,2,1,156,112,,,True,30,0,uM,0,
49,2,,1.47,1,MRM,ins,True,,0,3,ins.ins_1.Heavy,40,2,1,277,140,,,True,30,0,uM,0,
52,2,,1.58,1,MRM,gsn,True,,0,3,gsn.gsn_1.Heavy,40,2,1,292,155,,,True,30,0,uM,0,
55,2,,1.58,1,MRM,thym,True,,0,3,thym.thym_1.Heavy,40,2,1,130,43,,,True,30,0,uM,0,
57,2,,1.83,1,MRM,ade,True,,0,3,ade.ade_1.Heavy,40,2,1,139,111,,,True,30,0,uM,0,
60,2,,1.9,1,MRM,gam6p,True,,0,3,gam6p.gam6p_1.Heavy,40,2,1,264,79,,,True,30,0,uM,0,
63,2,,2,1,MRM,phe-L,True,,0,3,phe-L.phe-L_1.Heavy,40,2,1,173,156,,,True,30,0,uM,0,
66,2,,2,1,MRM,adn,True,,0,3,adn.adn_1.Heavy,40,2,1,276,139,,,True,30,0,uM,0,
68,2,,2.3,1,MRM,asp-L,True,,0,3,asp-L.asp-L_1.Heavy,40,2,1,136,91,,,True,30,0,uM,0,
71,2,,2.3,1,MRM,glu-L,True,,0,3,glu-L.glu-L_1.Heavy,40,2,1,151,133,,,True,30,0,uM,0,
74,2,,2.9,1,MRM,glyclt,True,,0,3,glyclt.glyclt_1.Heavy,40,2,1,77,48,,,True,30,0,uM,0,
77,2,,2.9,1,MRM,glx,True,,0,3,glx.glx_1.Heavy,40,2,1,75,46,,,True,30,0,uM,0,
79,2,,3.2,1,MRM,trp-L,True,,0,3,trp-L.trp-L_1.Heavy,40,2,1,214,124,,,True,30,0,uM,0,
82,2,,3.3,1,MRM,5oxpro,True,,0,3,5oxpro.5oxpro_1.Heavy,40,2,1,133,86,,,True,30,0,uM,0,
85,2,,3.3,1,MRM,lac-L,True,,0,3,lac-L.lac-L_1.Heavy,40,2,1,92,45,,,True,30,0,uM,0,
88,2,,3.5,1,MRM,urate,True,,0,3,urate.urate_1.Heavy,40,2,1,172,128,,,True,30,0,uM,0,
91,2,,3.6,1,MRM,gthrd,True,,0,3,gthrd.gthrd_1.Heavy,40,2,1,316,148,,,True,30,0,uM,0,
94,2,,4.3,1,MRM,nad,True,,0,3,nad.nad_1.Heavy,40,2,1,683,555,,,True,30,0,uM,0,
97,2,,4.4,1,MRM,pyr,True,,0,3,pyr.pyr_1.Heavy,40,2,1,90,45,,,True,30,0,uM,0,
100,2,,6,1,MRM,g3p,True,,0,3,g3p.g3p_1.Heavy,40,2,1,172.001007080078,97,,,True,30,0,uM,0,
103,2,,6,1,MRM,g6p,True,,0,3,g6p.g6p_1.Heavy,40,2,1,265,203,,,True,30,0,uM,0,
104,2,,6,1,MRM,g6p,True,,0,3,g6p.g6p_2.Heavy,40,2,1,265,79,,,True,30,0,uM,0,
107,2,,6,1,MRM,r5p,True,,0,3,r5p.r5p_1.Heavy,40,2,1,234,97,,,True,30,0,uM,0,
110,2,,6,1,MRM,f6p,True,,0,3,f6p.f6p_1.Heavy,40,2,1,265.001007080078,172,,,True,30,0,uM,0,
113,2,,6.4,1,MRM,s7p,True,,0,3,s7p.s7p_1.Heavy,40,2,1,296,97,,,True,30,0,uM,0,
116,2,,6.5,1,MRM,glyc3p,True,,0,3,glyc3p.glyc3p_1.Heavy,40,2,1,174,79,,,True,30,0,uM,0,
119,2,,7,1,MRM,g1p,True,,0,3,g1p.g1p_1.Heavy,40,2,1,265.002014160156,247,,,True,30,0,uM,0,
122,2,,7.6,1,MRM,cmp,True,,0,3,cmp.cmp_1.Heavy,40,2,1,331.001007080078,97,,,True,30,0,uM,0,
125,2,,7.8,1,MRM,ru5p-D,True,,0,3,ru5p-D.ru5p-D_1.Heavy,40,2,1,234.001007080078,97,,,True,30,0,uM,0,
128,2,,8.8,1,MRM,f1p,True,,0,3,f1p.f1p_1.Heavy,40,2,1,265.002990722656,79,,,True,30,0,uM,0,
131,2,,9.1,1,MRM,dcmp,True,,0,3,dcmp.dcmp_1.Heavy,40,2,1,315,200,,,True,30,0,uM,0,
134,2,,9.6,1,MRM,ump,True,,0,3,ump.ump_1.Heavy,40,2,1,332,79,,,True,30,0,uM,0,
137,2,,10.1,1,MRM,dhap,True,,0,3,dhap.dhap_1.Heavy,40,2,1,172,97,,,True,30,0,uM,0,
140,2,,10.97,1,MRM,dump,True,,0,3,dump.dump_1.Heavy,40,2,1,316,79,,,True,30,0,uM,0,
143,2,,11.1,1,MRM,35cgmp,True,,0,3,35cgmp.35cgmp_1.Heavy,40,2,1,354,155,,,True,30,0,uM,0,
146,2,,11.23,1,MRM,dgmp,True,,0,3,dgmp.dgmp_1.Heavy,40,2,1,356,138,,,True,30,0,uM,0,
149,2,,11.3,1,MRM,dtmp,True,,0,3,dtmp.dtmp_1.Heavy,40,2,1,331.002014160156,200,,,True,30,0,uM,0,
152,2,,11.4,1,MRM,ribflv,True,,0,3,ribflv.ribflv_1.Heavy,40,2,1,392,268,,,True,30,0,uM,0,
154,2,,11.6,1,MRM,amp,True,,0,3,amp.amp_1.Heavy,40,2,1,356,139,,,True,30,0,uM,0,
157,2,,11,1,MRM,dimp,True,,0,3,dimp.dimp_1.Heavy,40,2,1,341,140,,,True,30,0,uM,0,
160,2,,11.6,1,MRM,gmp,True,,0,3,gmp.gmp_1.Heavy,40,2,1,372,79,,,True,30,0,uM,0,
163,2,,11.6,1,MRM,imp,True,,0,3,imp.imp_1.Heavy,40,2,1,357,140,,,True,30,0,uM,0,
166,2,,11.7,1,MRM,camp,True,,0,3,camp.camp_1.Heavy,40,2,1,338,139,,,True,30,0,uM,0,
169,2,,11.7,1,MRM,gthox,True,,0,3,gthox.gthox_1.Heavy,40,2,1,631,316,,,True,30,0,uM,0,
172,2,,11.8,1,MRM,btn,True,,0,3,btn.btn_1.Heavy,40,2,1,253,43,,,True,30,0,uM,0,
175,2,,11.8,1,MRM,mmal,True,,0,3,mmal.mmal_1.Heavy,40,2,1,121,58,,,True,30,0,uM,0,
178,2,May be saturated in undiluted samples,11.8,1,MRM,succ,True,,0,3,succ.succ_1.Heavy,40,2,1,121,103,,,True,30,0,uM,0,
181,2,,13.8,1,MRM,6pgc,True,,0,3,6pgc.6pgc_1.Heavy,40,2,1,281,97,,,True,30,0,uM,0,
183,2,,11.9,1,MRM,damp,True,,0,3,damp.damp_1.Heavy,40,2,1,340,79,,,True,30,0,uM,0,
186,2,,12.5,1,MRM,actp,True,,0,3,actp.actp_1.Heavy,40,2,1,141,63,,,True,30,0,uM,0,
189,2,,12,1,MRM,mal-L,True,,0,3,mal-L.mal-L_1.Heavy,40,2,1,137,119,,,True,30,0,uM,0,
191,2,,12.1,1,MRM,glutacon,True,,0,3,glutacon.glutacon_1.Heavy,40,2,1,134,89,,,True,30,0,uM,0,
193,2,,12.4,1,MRM,oxa,True,,0,3,oxa.oxa_1.Heavy,40,2,1,91,63,,,True,30,0,uM,0,
196,2,,12.18,1,MRM,fum,True,,0,3,fum.fum_1.Heavy,40,2,1,119,74,,,True,30,0,uM,0,
198,2,,12.5,1,MRM,akg,True,,0,3,akg.akg_1.Heavy,40,2,1,150,105,,,True,30,0,uM,0,
200,2,,12.5,1,MRM,oaa,True,,0,3,oaa.oaa_1.Heavy,40,2,1,135,90,,,True,30,0,uM,0,
202,2,,12.3,1,MRM,adpglc,True,,0,3,adpglc.adpglc_1.Heavy,40,2,1,604,356,,,True,30,0,uM,0,
205,2,,12.4,1,MRM,dtdpglu,True,,0,3,dtdpglu.dtdpglu_1.Heavy,40,2,1,579,331,,,True,30,0,uM,0,
208,2,,13.5,1,MRM,nadh,True,,0,3,nadh.nadh_1.Heavy,40,2,1,685,418,,,True,30,0,uM,0,
211,2,,13.6,1,MRM,fol,True,,0,3,fol.fol_1.Heavy,40,2,1,459,325,,,True,30,0,uM,0,
214,2,,13.7,1,MRM,dcdp,True,,0,3,dcdp.dcdp_1.Heavy,40,2,1,395,159,,,True,30,0,uM,0,
217,2,,13.7,1,MRM,Pool_2pg_3pg,True,,0,3,Pool_2pg_3pg.Pool_2pg_3pg_1.Heavy,40,2,1,188,97,,,True,30,0,uM,0,
220,2,,13.77,1,MRM,dgdp,True,,0,3,dgdp.dgdp_1.Heavy,40,2,1,436,280,,,True,30,0,uM,0,
223,2,,13.77,1,MRM,gdp,True,,0,3,gdp.gdp_1.Heavy,40,2,1,452,79,,,True,30,0,uM,0,
226,2,,13.98,1,MRM,adp,True,,0,3,adp.adp_1.Heavy,40,2,1,436,139,,,True,30,0,uM,0,
229,2,,14,1,MRM,udp,True,,0,3,udp.udp_1.Heavy,40,2,1,412,115,,,True,30,0,uM,0,
232,2,,14.03,1,MRM,acon-C,True,,0,3,acon-C.acon-C_1.Heavy,40,2,1,179,134,,,True,30,0,uM,0,
235,2,,15,1,MRM,fdp,True,,0,3,fdp.fdp_1.Heavy,40,2,1,345,247,,,True,30,0,uM,0,
238,2,,14.2,1,MRM,nadp,True,,0,3,nadp.nadp_1.Heavy,40,2,1,763,635,,,True,30,0,uM,0,
241,2,,14.2,1,MRM,pep,True,,0,3,pep.pep_1.Heavy,40,2,1,170,79,,,True,30,0,uM,0,
244,2,,14.3,1,MRM,dadp,True,,0,3,dadp.dadp_1.Heavy,40,2,1,420,79,,,True,30,0,uM,0,
247,2,,14.5,1,MRM,cit,True,,0,3,cit.cit_1.Heavy,40,2,1,197,90,,,True,30,0,uM,0,
250,2,,14.6,1,MRM,Pool_cit_icit,True,,0,3,Pool_cit_icit.Pool_cit_icit_1.Heavy,40,2,1,197,116,,,True,30,0,uM,0,
251,2,,14.7,1,MRM,icit,True,,0,3,icit.icit_1.Heavy,40,2,1,197,76,,,True,30,0,uM,0,
254,2,,15.5,1,MRM,fad,True,,0,3,fad.fad_1.Heavy,40,2,1,811,454,,,True,30,0,uM,0,
257,2,,15,1,MRM,prpp,True,,0,3,prpp.prpp_1.Heavy,40,2,1,394,177,,,True,30,0,uM,0,
260,2,,15.8,1,MRM,ctp,True,,0,3,ctp.ctp_1.Heavy,40,2,1,491.001007080078,159,,,True,30,0,uM,0,
263,2,,15.8,1,MRM,dctp,True,,0,3,dctp.dctp_1.Heavy,40,2,1,475,79,,,True,30,0,uM,0,
266,2,,15.8,1,MRM,ditp,True,,0,3,ditp.ditp_1.Heavy,40,2,1,501,79,,,True,30,0,uM,0,
269,2,,15.8,1,MRM,dutp,True,,0,3,dutp.dutp_1.Heavy,40,2,1,476,159,,,True,30,0,uM,0,
272,2,,15.8,1,MRM,itp,True,,0,3,itp.itp_1.Heavy,40,2,1,517,419,,,True,30,0,uM,0,
275,2,,15.8,1,MRM,utp,True,,0,3,utp.utp_1.Heavy,40,2,1,492,394,,,True,30,0,uM,0,
278,2,,16,1,MRM,23dpg,True,,0,3,23dpg.23dpg_1.Heavy,40,2,1,268,170,,,True,30,0,uM,0,
281,2,,16,1,MRM,atp,True,,0,3,atp.atp_1.Heavy,40,2,1,516,159,,,True,30,0,uM,0,
284,2,,16,1,MRM,datp,True,,0,3,datp.datp_1.Heavy,40,2,1,500,159,,,True,30,0,uM,0,
287,2,,16,1,MRM,dttp,True,,0,3,dttp.dttp_1.Heavy,40,2,1,491.002014160156,79,,,True,30,0,uM,0,
290,2,,16,1,MRM,gtp,True,,0,3,gtp.gtp_1.Heavy,40,2,1,532,79,,,True,30,0,uM,0,
293,2,,16.2,1,MRM,phpyr,True,,0,3,phpyr.phpyr_1.Heavy,40,2,1,172,98,,,True,30,0,uM,0,
296,2,,16.5,1,MRM,nadph,True,,0,3,nadph.nadph_1.Heavy,40,2,1,765,418,,,True,30,0,uM,0,
299,2,,17,1,MRM,coa,True,,0,3,coa.coa_1.Heavy,40,2,1,787,79,,,True,30,0,uM,0,
301,2,,17,1,MRM,accoa,True,,0,3,accoa.accoa_1.Heavy,40,2,1,831,79,,,True,30,0,uM,0,
2,2,,0.7,1,MRM,arg-L,False,arg-L.arg-L_1.Heavy,0,3,arg-L.arg-L_1.Light,40,2,1,173,131,Linear,ln (x),True,30,0,uM,0,False
4,2,,0.7,1,MRM,orn,False,orn.orn_1.Heavy,0,3,orn.orn_1.Light,40,2,1,131,85,Linear,ln (x),True,30,0,uM,0,False
6,2,,0.88,1,MRM,his-L,False,his-L.his-L_1.Heavy,0,3,his-L.his-L_1.Light,40,2,1,154,137,Linear,ln (x),True,30,0,uM,0,False
7,2,,0.88,1,MRM,his-L,False,,0,3,his-L.his-L_2.Light,40,2,1,154,93,Linear,ln (x),True,30,0,uM,0,False
9,2,,0.92,1,MRM,asn-L,False,asn-L.asn-L_1.Heavy,0,3,asn-L.asn-L_1.Light,40,2,1,131,114,Linear,ln (x),True,30,0,uM,0,False
10,2,,0.92,1,MRM,asn-L,False,,0,3,asn-L.asn-L_2.Light,40,2,1,131,95,Linear,ln (x),True,30,0,uM,0,False
12,2,,0.92,1,MRM,ser-L,False,ser-L.ser-L_1.Heavy,0,3,ser-L.ser-L_1.Light,40,2,1,104,74,Linear,ln (x),True,30,0,uM,0,False
13,2,,0.92,1,MRM,ser-L,False,,0,3,ser-L.ser-L_2.Light,40,2,1,104,42,Linear,ln (x),True,30,0,uM,0,False
15,2,,0.93,1,MRM,citr-L,False,citr-L.citr-L_1.Heavy,0,3,citr-L.citr-L_1.Light,40,2,1,174,131,Linear,ln (x),True,30,0,uM,0,False
17,2,,0.93,1,MRM,gln-L,False,gln-L.gln-L_1.Heavy,0,3,gln-L.gln-L_1.Light,40,2,1,145.001007080078,127,Linear,ln (x),True,30,0,uM,0,False
18,2,,0.93,1,MRM,gln-L,False,,0,3,gln-L.gln-L_2.Light,40,2,1,145.001007080078,101,Linear,ln (x),True,30,0,uM,0,False
20,2,,0.94,1,MRM,Hexose_Pool_fru_glc-D,False,Hexose_Pool_fru_glc-D.Hexose_Pool_fru_glc-D_1.Heavy,0,3,Hexose_Pool_fru_glc-D.Hexose_Pool_fru_glc-D_1.Light,40,2,1,179,59,Linear,ln (x),True,30,0,uM,0,False
21,2,,0.94,1,MRM,Hexose_Pool_fru_glc-D,False,,0,3,Hexose_Pool_fru_glc-D.Hexose_Pool_fru_glc-D_2.Light,40,2,1,179,89,Linear,ln (x),True,30,0,uM,0,False
23,2,,0.94,1,MRM,Lcystin,False,Lcystin.Lcystin_1.Heavy,0,3,Lcystin.Lcystin_1.Light,40,2,1,239,120,Linear,ln (x),True,30,0,uM,0,False
25,2,,0.94,1,MRM,thr-L,False,thr-L.thr-L_1.Heavy,0,3,thr-L.thr-L_1.Light,40,2,1,118,74,Linear,ln (x),True,30,0,uM,0,False
27,2,,0.95,1,MRM,ala-L,False,ala-L.ala-L_1.Heavy,0,3,ala-L.ala-L_1.Light,40,2,1,88,45,Linear,ln (x),True,30,0,uM,0,False
28,2,,0.95,1,MRM,ala-L,False,ala-L.ala-L_1.Heavy,0,3,ala-L.ala-L_2.Light,40,2,1,88,42,Linear,ln (x),True,30,0,uM,0,False
30,2,,1.15,1,MRM,cytd,False,uri.uri_1.Heavy,0,3,cytd.cytd_1.Light,40,2,1,241.977005004883,109,Linear,ln (x),True,30,0,uM,0,False
32,2,,1.15,1,MRM,ura,False,ura.ura_1.Heavy,0,3,ura.ura_1.Light,40,2,1,111,42,Linear,ln (x),True,30,0,uM,0,False
34,2,,1.22,1,MRM,met-L,False,met-L.met-L_1.Heavy,0,3,met-L.met-L_1.Light,40,2,1,148,47,Linear,None,True,30,0,uM,0,True
36,2,Low signal,1.27,1,MRM,uri,False,uri.uri_1.Heavy,0,3,uri.uri_1.Light,40,2,1,243.001007080078,42,Linear,ln (x),True,30,0,uM,0,False
37,2,,1.27,1,MRM,uri,False,,0,3,uri.uri_2.Light,40,2,1,243.001007080078,110,Linear,ln (x),True,30,0,uM,0,False
39,2,,1.28,1,MRM,gua,False,gua.gua_1.Heavy,0,3,gua.gua_1.Light,40,2,1,149.916000366211,133,Linear,ln (x),True,30,0,uM,0,False
41,2,,1.28,1,MRM,hxan,False,hxan.hxan_1.Heavy,0,3,hxan.hxan_1.Light,40,2,1,135,92,Linear,ln (x),True,30,0,uM,0,False
43,2,,1.3,1,MRM,AICAr,False,AICAr.AICAr_1.Heavy,0,3,AICAr.AICAr_1.Light,40,2,1,257,125,Linear,None,True,30,0,uM,0,True
45,2,,1.35,1,MRM,tyr-L,False,tyr-L.tyr-L_1.Heavy,0,3,tyr-L.tyr-L_1.Light,40,2,1,180,163,Linear,ln (x),True,30,0,uM,0,False
46,2,,1.35,1,MRM,tyr-L,False,,0,3,tyr-L.tyr-L_2.Light,40,2,1,180,119,Linear,ln (x),True,30,0,uM,0,False
48,2,,1.41,1,MRM,xan,False,xan.xan_1.Heavy,0,3,xan.xan_1.Light,40,2,1,150.916000366211,108,Linear,ln (x),True,30,0,uM,0,False
50,2,,1.47,1,MRM,ins,False,ins.ins_1.Heavy,0,3,ins.ins_1.Light,40,2,1,267,135,Linear,ln (x),True,30,0,uM,0,False
51,2,,1.47,1,MRM,ins,False,,0,3,ins.ins_2.Light,40,2,1,267,108,Linear,ln (x),True,30,0,uM,0,False
53,2,,1.58,1,MRM,gsn,False,gsn.gsn_1.Heavy,0,3,gsn.gsn_1.Light,40,2,1,282,150,Linear,ln (x),True,30,0,uM,0,False
54,2,,1.58,1,MRM,gsn,False,,0,3,gsn.gsn_2.Light,40,2,1,282,133,Linear,ln (x),True,30,0,uM,0,False
56,2,,1.58,1,MRM,thym,False,thym.thym_1.Heavy,0,3,thym.thym_1.Light,40,2,1,124.894996643066,42,Linear,None,True,30,0,uM,0,True
58,2,,1.83,1,MRM,ade,False,ade.ade_1.Heavy,0,3,ade.ade_1.Light,40,2,1,133.910003662109,107,Linear,ln (x),True,30,0,uM,0,False
59,2,,1.83,1,MRM,ade,False,,0,3,ade.ade_2.Light,40,2,1,133.910003662109,92,Linear,ln (x),True,30,0,uM,0,False
61,2,,1.9,1,MRM,gam6p,False,gam6p.gam6p_1.Heavy,0,3,gam6p.gam6p_1.Light,40,2,1,258,79,Linear,ln (x),True,30,0,uM,0,False
62,2,,1.9,1,MRM,gam6p,False,,0,3,gam6p.gam6p_2.Light,40,2,1,258,97,Linear,ln (x),True,30,0,uM,0,False
64,2,,2,1,MRM,phe-L,False,phe-L.phe-L_1.Heavy,0,3,phe-L.phe-L_1.Light,40,2,1,164,147,Linear,ln (x),True,30,0,uM,0,False
65,2,,2,1,MRM,phe-L,False,,0,3,phe-L.phe-L_2.Light,40,2,1,164,103,Linear,ln (x),True,30,0,uM,0,False
67,2,,2,1,MRM,adn,False,adn.adn_1.Heavy,0,3,adn.adn_1.Light,40,2,1,265.889007568359,134,Linear,ln (x),True,30,0,uM,0,False
69,2,,2.3,1,MRM,asp-L,False,asp-L.asp-L_1.Heavy,0,3,asp-L.asp-L_1.Light,40,2,1,132,88,Linear,None,True,30,0,uM,0,True
70,2,,2.3,1,MRM,asp-L,False,,0,3,asp-L.asp-L_2.Light,40,2,1,132,115,Linear,None,True,30,0,uM,0,True
72,2,,2.3,1,MRM,glu-L,False,asp-L.asp-L_1.Heavy,0,3,glu-L.glu-L_1.Light,40,2,1,146,128,Linear,ln (x),True,30,0,uM,0,False
73,2,,2.3,1,MRM,glu-L,False,,0,3,glu-L.glu-L_2.Light,40,2,1,146,102,Linear,ln (x),True,30,0,uM,0,False
75,2,,2.9,1,MRM,glyclt,False,glyclt.glyclt_1.Heavy,0,3,glyclt.glyclt_1.Light,40,2,1,75,47,Linear,ln (x),True,30,0,uM,0,False
76,2,,2.9,1,MRM,glyclt,False,,0,3,glyclt.glyclt_2.Light,40,2,1,75,45,Linear,ln (x),True,30,0,uM,0,False
78,2,,2.9,1,MRM,glx,False,glx.glx_1.Heavy,0,3,glx.glx_1.Light,40,2,1,73,45,Linear,ln (x),True,30,0,uM,0,False
80,2,,3.2,1,MRM,trp-L,False,trp-L.trp-L_1.Heavy,0,3,trp-L.trp-L_1.Light,40,2,1,203,116,Linear,ln (x),True,30,0,uM,0,False
81,2,,3.2,1,MRM,trp-L,False,,0,3,trp-L.trp-L_2.Light,40,2,1,203,74,Linear,ln (x),True,30,0,uM,0,False
83,2,Many of the dilutions for the samples look better than the undiluted; QCs from undiluted look best,3.3,1,MRM,5oxpro,False,asp-L.asp-L_1.Heavy,0,3,5oxpro.5oxpro_1.Light,40,2,1,128,82,Linear,ln (x),True,30,0,uM,0,False
84,2,,3.3,1,MRM,5oxpro,False,,0,3,5oxpro.5oxpro_2.Light,40,2,1,128,84,Linear,ln (x),True,30,0,uM,0,False
86,2,,3.3,1,MRM,lac-L,False,lac-L.lac-L_1.Heavy,0,3,lac-L.lac-L_1.Light,40,2,1,89,43,Linear,ln (x),True,30,0,uM,0,False
87,2,,3.3,1,MRM,lac-L,False,,0,3,lac-L.lac-L_2.Light,40,2,1,89,45,Linear,ln (x),True,30,0,uM,0,False
89,2,,3.5,1,MRM,urate,False,urate.urate_1.Heavy,0,3,urate.urate_1.Light,40,2,1,167,124,Linear,ln (x),True,30,0,uM,0,False
90,2,,3.5,1,MRM,urate,False,,0,3,urate.urate_2.Light,40,2,1,167,42,Linear,ln (x),True,30,0,uM,0,False
92,2,Solvent incompatibility; dilute in H2O not mobile phase!,3.6,1,MRM,gthrd,False,gthrd.gthrd_1.Heavy,0,3,gthrd.gthrd_1.Light,40,2,1,306,143,Linear,ln (x),True,30,0,uM,0,False
93,2,,3.6,1,MRM,gthrd,False,,0,3,gthrd.gthrd_2.Light,40,2,1,306,272,Linear,ln (x),True,30,0,uM,0,False
95,2,,4.3,1,MRM,nad,False,nad.nad_1.Heavy,0,3,nad.nad_1.Light,40,2,1,662,540,Linear,ln (x),True,30,0,uM,0,False
96,2,,4.3,1,MRM,nad,False,,0,3,nad.nad_2.Light,40,2,1,662,79,Linear,ln (x),True,30,0,uM,0,False
98,2,,4.4,1,MRM,pyr,False,pyr.pyr_1.Heavy,0,3,pyr.pyr_1.Light,40,2,1,87,43,Linear,ln (x),True,30,0,uM,0,False
99,2,,4.4,1,MRM,pyr,False,,0,3,pyr.pyr_2.Light,40,2,1,87,32,Linear,ln (x),True,30,0,uM,0,False
101,2,,6,1,MRM,g3p,False,g3p.g3p_1.Heavy,0,3,g3p.g3p_1.Light,40,2,1,169.001007080078,97,Linear,None,True,30,0,uM,0,True
102,2,,6,1,MRM,g3p,False,,0,3,g3p.g3p_2.Light,40,2,1,169.001007080078,79,Linear,None,True,30,0,uM,0,True
105,2,Noticeable matrix effects due to glycerol; priotize dilutions when possible,6,1,MRM,g6p,False,g6p.g6p_1.Heavy,0,3,g6p.g6p_1.Light,40,2,1,259,199,Linear,ln (x),True,30,0,uM,0,False
106,2,Noticeable matrix effects due to glycerol; priotize dilutions when possible,6,1,MRM,g6p,False,g6p.g6p_2.Heavy,0,3,g6p.g6p_2.Light,40,2,1,259,79,Linear,ln (x),True,30,0,uM,0,False
108,2,Noticeable matrix effects due to glycerol; priotize dilutions when possible,6,1,MRM,r5p,False,r5p.r5p_1.Heavy,0,3,r5p.r5p_1.Light,40,2,1,229,97,Linear,ln (x),True,30,0,uM,0,False
109,2,,6,1,MRM,r5p,False,,0,3,r5p.r5p_2.Light,40,2,1,229,139,Linear,ln (x),True,30,0,uM,0,False
111,2,Noticeable matrix effects due to glycerol; priotize dilutions when possible,6,1,MRM,f6p,False,f6p.f6p_1.Heavy,0,3,f6p.f6p_1.Light,40,2,1,259.001007080078,169,Linear,ln (x),True,30,0,uM,0,False
112,2,,6,1,MRM,f6p,False,,0,3,f6p.f6p_2.Light,40,2,1,259.001007080078,79,Linear,ln (x),True,30,0,uM,0,False
114,2,,6.4,1,MRM,s7p,False,s7p.s7p_1.Heavy,0,3,s7p.s7p_1.Light,40,2,1,289,97,Linear,ln (x),True,30,0,uM,0,False
115,2,,6.4,1,MRM,s7p,False,,0,3,s7p.s7p_2.Light,40,2,1,289,79,Linear,ln (x),True,30,0,uM,0,False
117,2,Noticeable matrix effects due to glycerol; priotize dilutions when possible,6.5,1,MRM,glyc3p,False,glyc3p.glyc3p_1.Heavy,0,3,glyc3p.glyc3p_1.Light,40,2,1,171,79,Linear,ln (x),True,30,0,uM,0,False
118,2,,6.5,1,MRM,glyc3p,False,,0,3,glyc3p.glyc3p_2.Light,40,2,1,171,63,Linear,ln (x),True,30,0,uM,0,False
120,2,,7,1,MRM,g1p,False,g1p.g1p_1.Heavy,0,3,g1p.g1p_1.Light,40,2,1,259.002014160156,241,Linear,ln (x),True,30,0,uM,0,False
