id,experiment_id,sample_id,met_id,data_raw,data_corrected,data_units,data_reference,used_,comment_
1262,ALEsKOs01,140715_6_OxicEvo04gndEcoliGlcM9_Broth-3,glc-D,10.857,10.857,min,HPLC,TRUE,
1263,ALEsKOs01,140716_1_OxicEvo04pgiEcoliGlcM9_Broth-1,glc-D,10.856,10.856,min,HPLC,TRUE,
1264,ALEsKOs01,140716_1_OxicEvo04pgiEcoliGlcM9_Broth-2,glc-D,10.855,10.855,min,HPLC,TRUE,
1265,ALEsKOs01,140716_1_OxicEvo04pgiEcoliGlcM9_Broth-3,glc-D,10.858,10.858,min,HPLC,TRUE,
1266,ALEsKOs01,140716_2_OxicEvo04pgiEcoliGlcM9_Broth-1,glc-D,10.86,10.86,min,HPLC,TRUE,
1267,ALEsKOs01,140716_2_OxicEvo04pgiEcoliGlcM9_Broth-2,glc-D,10.861,10.861,min,HPLC,TRUE,
1268,ALEsKOs01,140716_2_OxicEvo04pgiEcoliGlcM9_Broth-3,glc-D,10.86,10.86,min,HPLC,TRUE,
1269,ALEsKOs01,140716_3_OxicEvo04pgiEcoliGlcM9_Broth-1,glc-D,10.86,10.86,min,HPLC,TRUE,
1270,ALEsKOs01,140716_3_OxicEvo04pgiEcoliGlcM9_Broth-2,glc-D,10.861,10.861,min,HPLC,TRUE,
1271,ALEsKOs01,140716_3_OxicEvo04pgiEcoliGlcM9_Broth-3,glc-D,10.851,10.851,min,HPLC,TRUE,
1272,ALEsKOs01,140716_4_OxicEvo04pgiEcoliGlcM9_Broth-1,glc-D,10.856,10.856,min,HPLC,TRUE,
1273,ALEsKOs01,140716_4_OxicEvo04pgiEcoliGlcM9_Broth-2,glc-D,10.86,10.86,min,HPLC,TRUE,
1274,ALEsKOs01,140716_4_OxicEvo04pgiEcoliGlcM9_Broth-3,glc-D,10.859,10.859,min,HPLC,TRUE,
1275,ALEsKOs01,140716_5_OxicEvo04pgiEcoliGlcM9_Broth-1,glc-D,10.859,10.859,min,HPLC,FALSE,
1276,ALEsKOs01,140716_5_OxicEvo04pgiEcoliGlcM9_Broth-2,glc-D,10.855,10.855,min,HPLC,FALSE,
1277,ALEsKOs01,140716_5_OxicEvo04pgiEcoliGlcM9_Broth-3,glc-D,10.854,10.854,min,HPLC,TRUE,
1278,ALEsKOs01,140716_6_OxicEvo04pgiEcoliGlcM9_Broth-1,glc-D,10.857,10.857,min,HPLC,FALSE,
1279,ALEsKOs01,140716_6_OxicEvo04pgiEcoliGlcM9_Broth-2,glc-D,10.858,10.858,min,HPLC,FALSE,
1280,ALEsKOs01,140716_6_OxicEvo04pgiEcoliGlcM9_Broth-3,glc-D,10.857,10.857,min,HPLC,FALSE,
1281,ALEsKOs01,140716_1_OxicEvo04sdhCBEcoliGlcM9_Broth-1,glc-D,10.861,10.861,min,HPLC,TRUE,
1282,ALEsKOs01,140716_1_OxicEvo04sdhCBEcoliGlcM9_Broth-2,glc-D,10.862,10.862,min,HPLC,TRUE,
1283,ALEsKOs01,140716_1_OxicEvo04sdhCBEcoliGlcM9_Broth-3,glc-D,10.863,10.863,min,HPLC,TRUE,
1284,ALEsKOs01,140716_2_OxicEvo04sdhCBEcoliGlcM9_Broth-1,glc-D,10.863,10.863,min,HPLC,TRUE,
1285,ALEsKOs01,140716_2_OxicEvo04sdhCBEcoliGlcM9_Broth-2,glc-D,10.856,10.856,min,HPLC,TRUE,
1286,ALEsKOs01,140716_2_OxicEvo04sdhCBEcoliGlcM9_Broth-3,glc-D,10.86,10.86,min,HPLC,TRUE,
1287,ALEsKOs01,140716_3_OxicEvo04sdhCBEcoliGlcM9_Broth-1,glc-D,10.862,10.862,min,HPLC,TRUE,
1288,ALEsKOs01,140716_3_OxicEvo04sdhCBEcoliGlcM9_Broth-2,glc-D,10.861,10.861,min,HPLC,TRUE,
1289,ALEsKOs01,140716_3_OxicEvo04sdhCBEcoliGlcM9_Broth-3,glc-D,10.863,10.863,min,HPLC,FALSE,
1290,ALEsKOs01,140716_4_OxicEvo04sdhCBEcoliGlcM9_Broth-1,glc-D,10.859,10.859,min,HPLC,TRUE,
1291,ALEsKOs01,140716_4_OxicEvo04sdhCBEcoliGlcM9_Broth-2,glc-D,10.86,10.86,min,HPLC,TRUE,
1292,ALEsKOs01,140716_4_OxicEvo04sdhCBEcoliGlcM9_Broth-3,glc-D,10.858,10.858,min,HPLC,TRUE,
1293,ALEsKOs01,140716_5_OxicEvo04sdhCBEcoliGlcM9_Broth-1,glc-D,10.858,10.858,min,HPLC,TRUE,
1294,ALEsKOs01,140716_5_OxicEvo04sdhCBEcoliGlcM9_Broth-2,glc-D,10.859,10.859,min,HPLC,TRUE,
1295,ALEsKOs01,140716_5_OxicEvo04sdhCBEcoliGlcM9_Broth-3,glc-D,10.858,10.858,min,HPLC,TRUE,
1296,ALEsKOs01,140716_6_OxicEvo04sdhCBEcoliGlcM9_Broth-1,glc-D,10.86,10.86,min,HPLC,FALSE,
1297,ALEsKOs01,140716_6_OxicEvo04sdhCBEcoliGlcM9_Broth-2,glc-D,10.86,10.86,min,HPLC,TRUE,
1298,ALEsKOs01,140716_6_OxicEvo04sdhCBEcoliGlcM9_Broth-3,glc-D,10.858,10.858,min,HPLC,FALSE,
1299,ALEsKOs01,140715_6_OxicEvo04EcoliGlcM9_Broth-1,pyr,11.518,11.518,min,HPLC,FALSE,
1300,ALEsKOs01,140715_6_OxicEvo04EcoliGlcM9_Broth-3,pyr,11.517,11.517,min,HPLC,FALSE,
1301,ALEsKOs01,140715_4_OxicEvo04gndEcoliGlcM9_Broth-3,pyr,11.51,11.51,min,HPLC,FALSE,
1302,ALEsKOs01,140715_5_OxicEvo04gndEcoliGlcM9_Broth-1,pyr,11.518,11.518,min,HPLC,FALSE,
1303,ALEsKOs01,140715_5_OxicEvo04gndEcoliGlcM9_Broth-2,pyr,11.521,11.521,min,HPLC,FALSE,
1304,ALEsKOs01,140715_5_OxicEvo04gndEcoliGlcM9_Broth-3,pyr,11.524,11.524,min,HPLC,FALSE,
1305,ALEsKOs01,140715_6_OxicEvo04gndEcoliGlcM9_Broth-1,pyr,11.525,11.525,min,HPLC,FALSE,
1306,ALEsKOs01,140715_6_OxicEvo04gndEcoliGlcM9_Broth-2,pyr,11.529,11.529,min,HPLC,FALSE,
1307,ALEsKOs01,140715_6_OxicEvo04gndEcoliGlcM9_Broth-3,pyr,11.532,11.532,min,HPLC,FALSE,
1308,ALEsKOs01,140716_5_OxicEvo04sdhCBEcoliGlcM9_Broth-1,pyr,11.521,11.521,min,HPLC,FALSE,
1309,ALEsKOs01,140716_5_OxicEvo04sdhCBEcoliGlcM9_Broth-3,pyr,11.509,11.509,min,HPLC,FALSE,
1310,ALEsKOs01,140716_6_OxicEvo04sdhCBEcoliGlcM9_Broth-1,pyr,11.521,11.521,min,HPLC,FALSE,
1311,ALEsKOs01,140716_6_OxicEvo04sdhCBEcoliGlcM9_Broth-3,pyr,11.522,11.522,min,HPLC,FALSE,
1312,ALEsKOs01,140715_6_OxicEvo04gndEcoliGlcM9_Broth-2,succ,14.555,14.555,min,HPLC,FALSE,
1313,ALEsKOs01,140715_6_OxicEvo04gndEcoliGlcM9_Broth-3,succ,14.563,14.563,min,HPLC,FALSE,
1314,ALEsKOs01,140716_3_OxicEvo04sdhCBEcoliGlcM9_Broth-1,succ,14.554,14.554,min,HPLC,TRUE,
1315,ALEsKOs01,140716_3_OxicEvo04sdhCBEcoliGlcM9_Broth-2,succ,14.56,14.56,min,HPLC,TRUE,
1316,ALEsKOs01,140716_3_OxicEvo04sdhCBEcoliGlcM9_Broth-3,succ,14.556,14.556,min,HPLC,TRUE,
1317,ALEsKOs01,140716_4_OxicEvo04sdhCBEcoliGlcM9_Broth-1,succ,14.557,14.557,min,HPLC,TRUE,
1318,ALEsKOs01,140716_4_OxicEvo04sdhCBEcoliGlcM9_Broth-2,succ,14.561,14.561,min,HPLC,TRUE,
1319,ALEsKOs01,140716_4_OxicEvo04sdhCBEcoliGlcM9_Broth-3,succ,14.56,14.56,min,HPLC,TRUE,
1320,ALEsKOs01,140716_5_OxicEvo04sdhCBEcoliGlcM9_Broth-1,succ,14.56,14.56,min,HPLC,TRUE,
1321,ALEsKOs01,140716_5_OxicEvo04sdhCBEcoliGlcM9_Broth-2,succ,14.559,14.559,min,HPLC,TRUE,
1322,ALEsKOs01,140716_5_OxicEvo04sdhCBEcoliGlcM9_Broth-3,succ,14.559,14.559,min,HPLC,TRUE,
1323,ALEsKOs01,140716_6_OxicEvo04sdhCBEcoliGlcM9_Broth-1,succ,14.561,14.561,min,HPLC,TRUE,
1324,ALEsKOs01,140716_6_OxicEvo04sdhCBEcoliGlcM9_Broth-2,succ,14.561,14.561,min,HPLC,TRUE,
1325,ALEsKOs01,140716_6_OxicEvo04sdhCBEcoliGlcM9_Broth-3,succ,14.562,14.562,min,HPLC,TRUE,
1326,ALEsKOs01,140715_6_OxicEvo04gndEcoliGlcM9_Broth-1,lac-L,15.488,15.488,min,HPLC,FALSE,
1327,ALEsKOs01,140715_6_OxicEvo04gndEcoliGlcM9_Broth-2,lac-L,15.462,15.462,min,HPLC,FALSE,
1328,ALEsKOs01,140715_6_OxicEvo04gndEcoliGlcM9_Broth-3,lac-L,15.463,15.463,min,HPLC,FALSE,
1329,ALEsKOs01,140715_3_OxicEvo04EcoliGlcM9_Broth-2,for,17.042,17.042,min,HPLC,FALSE,
1330,ALEsKOs01,140715_4_OxicEvo04EcoliGlcM9_Broth-2,for,17.045,17.045,min,HPLC,FALSE,
1331,ALEsKOs01,140715_5_OxicEvo04EcoliGlcM9_Broth-2,for,17.041,17.041,min,HPLC,FALSE,
1332,ALEsKOs01,140715_6_OxicEvo04EcoliGlcM9_Broth-1,for,17.05,17.05,min,HPLC,FALSE,
1333,ALEsKOs01,140715_6_OxicEvo04EcoliGlcM9_Broth-2,for,17.046,17.046,min,HPLC,FALSE,
1334,ALEsKOs01,140715_6_OxicEvo04EcoliGlcM9_Broth-3,for,17.042,17.042,min,HPLC,FALSE,
1335,ALEsKOs01,140715_2_OxicEvo04gndEcoliGlcM9_Broth-1,for,17.044,17.044,min,HPLC,TRUE,
1336,ALEsKOs01,140715_3_OxicEvo04gndEcoliGlcM9_Broth-1,for,17.043,17.043,min,HPLC,TRUE,
1337,ALEsKOs01,140715_4_OxicEvo04gndEcoliGlcM9_Broth-1,for,17.061,17.061,min,HPLC,TRUE,
1338,ALEsKOs01,140715_5_OxicEvo04gndEcoliGlcM9_Broth-1,for,17.046,17.046,min,HPLC,TRUE,
1339,ALEsKOs01,140715_5_OxicEvo04gndEcoliGlcM9_Broth-2,for,17.058,17.058,min,HPLC,FALSE,
1340,ALEsKOs01,140715_5_OxicEvo04gndEcoliGlcM9_Broth-3,for,17.061,17.061,min,HPLC,FALSE,
1341,ALEsKOs01,140715_6_OxicEvo04gndEcoliGlcM9_Broth-1,for,17.054,17.054,min,HPLC,TRUE,
1342,ALEsKOs01,140715_6_OxicEvo04gndEcoliGlcM9_Broth-2,for,17.054,17.054,min,HPLC,FALSE,
1343,ALEsKOs01,140715_6_OxicEvo04gndEcoliGlcM9_Broth-3,for,17.058,17.058,min,HPLC,FALSE,
1344,ALEsKOs01,140716_5_OxicEvo04sdhCBEcoliGlcM9_Broth-1,for,17.052,17.052,min,HPLC,FALSE,
1345,ALEsKOs01,140716_6_OxicEvo04sdhCBEcoliGlcM9_Broth-1,for,17.057,17.057,min,HPLC,FALSE,
1346,ALEsKOs01,140715_1_OxicEvo04EcoliGlcM9_Broth-1,ac,18.587,18.587,min,HPLC,TRUE,
1347,ALEsKOs01,140715_1_OxicEvo04EcoliGlcM9_Broth-2,ac,18.588,18.588,min,HPLC,TRUE,
1348,ALEsKOs01,140715_1_OxicEvo04EcoliGlcM9_Broth-3,ac,18.585,18.585,min,HPLC,TRUE,
1349,ALEsKOs01,140715_2_OxicEvo04EcoliGlcM9_Broth-1,ac,18.588,18.588,min,HPLC,TRUE,
1350,ALEsKOs01,140715_2_OxicEvo04EcoliGlcM9_Broth-2,ac,18.598,18.598,min,HPLC,TRUE,
1351,ALEsKOs01,140715_2_OxicEvo04EcoliGlcM9_Broth-3,ac,18.602,18.602,min,HPLC,TRUE,
1352,ALEsKOs01,140715_3_OxicEvo04EcoliGlcM9_Broth-1,ac,18.603,18.603,min,HPLC,TRUE,
1353,ALEsKOs01,140715_3_OxicEvo04EcoliGlcM9_Broth-2,ac,18.601,18.601,min,HPLC,TRUE,
1354,ALEsKOs01,140715_3_OxicEvo04EcoliGlcM9_Broth-3,ac,18.594,18.594,min,HPLC,TRUE,
1355,ALEsKOs01,140715_4_OxicEvo04EcoliGlcM9_Broth-1,ac,18.595,18.595,min,HPLC,TRUE,
1356,ALEsKOs01,140715_4_OxicEvo04EcoliGlcM9_Broth-2,ac,18.592,18.592,min,HPLC,TRUE,
1357,ALEsKOs01,140715_4_OxicEvo04EcoliGlcM9_Broth-3,ac,18.596,18.596,min,HPLC,TRUE,
1358,ALEsKOs01,140715_5_OxicEvo04EcoliGlcM9_Broth-1,ac,18.597,18.597,min,HPLC,TRUE,
1359,ALEsKOs01,140715_5_OxicEvo04EcoliGlcM9_Broth-2,ac,18.595,18.595,min,HPLC,TRUE,
1360,ALEsKOs01,140715_5_OxicEvo04EcoliGlcM9_Broth-3,ac,18.596,18.596,min,HPLC,TRUE,
1361,ALEsKOs01,140715_6_OxicEvo04EcoliGlcM9_Broth-1,ac,18.595,18.595,min,HPLC,TRUE,
1362,ALEsKOs01,140715_6_OxicEvo04EcoliGlcM9_Broth-2,ac,18.596,18.596,min,HPLC,TRUE,
1363,ALEsKOs01,140715_6_OxicEvo04EcoliGlcM9_Broth-3,ac,18.592,18.592,min,HPLC,TRUE,
1364,ALEsKOs01,140715_1_OxicEvo04gndEcoliGlcM9_Broth-1,ac,18.585,18.585,min,HPLC,FALSE,
1365,ALEsKOs01,140715_1_OxicEvo04gndEcoliGlcM9_Broth-2,ac,18.59,18.59,min,HPLC,TRUE,
1366,ALEsKOs01,140715_1_OxicEvo04gndEcoliGlcM9_Broth-3,ac,18.599,18.599,min,HPLC,TRUE,
1367,ALEsKOs01,140715_2_OxicEvo04gndEcoliGlcM9_Broth-1,ac,18.601,18.601,min,HPLC,TRUE,
1368,ALEsKOs01,140715_2_OxicEvo04gndEcoliGlcM9_Broth-2,ac,18.604,18.604,min,HPLC,TRUE,
1369,ALEsKOs01,140715_2_OxicEvo04gndEcoliGlcM9_Broth-3,ac,18.599,18.599,min,HPLC,TRUE,
1370,ALEsKOs01,140715_3_OxicEvo04gndEcoliGlcM9_Broth-1,ac,18.591,18.591,min,HPLC,TRUE,
1371,ALEsKOs01,140715_3_OxicEvo04gndEcoliGlcM9_Broth-2,ac,18.601,18.601,min,HPLC,TRUE,
1372,ALEsKOs01,140715_3_OxicEvo04gndEcoliGlcM9_Broth-3,ac,18.602,18.602,min,HPLC,TRUE,
1373,ALEsKOs01,140715_4_OxicEvo04gndEcoliGlcM9_Broth-1,ac,18.603,18.603,min,HPLC,TRUE,
1374,ALEsKOs01,140715_4_OxicEvo04gndEcoliGlcM9_Broth-2,ac,18.603,18.603,min,HPLC,TRUE,
1375,ALEsKOs01,140715_4_OxicEvo04gndEcoliGlcM9_Broth-3,ac,18.593,18.593,min,HPLC,TRUE,
1376,ALEsKOs01,140715_5_OxicEvo04gndEcoliGlcM9_Broth-1,ac,18.594,18.594,min,HPLC,TRUE,
1377,ALEsKOs01,140715_5_OxicEvo04gndEcoliGlcM9_Broth-2,ac,18.601,18.601,min,HPLC,TRUE,
1378,ALEsKOs01,140715_5_OxicEvo04gndEcoliGlcM9_Broth-3,ac,18.605,18.605,min,HPLC,TRUE,
1379,ALEsKOs01,140715_6_OxicEvo04gndEcoliGlcM9_Broth-1,ac,18.6,18.6,min,HPLC,TRUE,
1380,ALEsKOs01,140715_6_OxicEvo04gndEcoliGlcM9_Broth-2,ac,18.601,18.601,min,HPLC,TRUE,
1381,ALEsKOs01,140715_6_OxicEvo04gndEcoliGlcM9_Broth-3,ac,18.604,18.604,min,HPLC,TRUE,
1382,ALEsKOs01,140716_1_OxicEvo04pgiEcoliGlcM9_Broth-1,ac,18.597,18.597,min,HPLC,TRUE,
1383,ALEsKOs01,140716_1_OxicEvo04pgiEcoliGlcM9_Broth-2,ac,18.589,18.589,min,HPLC,TRUE,
1384,ALEsKOs01,140716_1_OxicEvo04pgiEcoliGlcM9_Broth-3,ac,18.602,18.602,min,HPLC,TRUE,
1385,ALEsKOs01,140716_2_OxicEvo04pgiEcoliGlcM9_Broth-1,ac,18.604,18.604,min,HPLC,TRUE,
1386,ALEsKOs01,140716_2_OxicEvo04pgiEcoliGlcM9_Broth-2,ac,18.605,18.605,min,HPLC,TRUE,
1387,ALEsKOs01,140716_2_OxicEvo04pgiEcoliGlcM9_Broth-3,ac,18.609,18.609,min,HPLC,TRUE,
1388,ALEsKOs01,140716_3_OxicEvo04pgiEcoliGlcM9_Broth-1,ac,18.609,18.609,min,HPLC,TRUE,
1389,ALEsKOs01,140716_3_OxicEvo04pgiEcoliGlcM9_Broth-2,ac,18.612,18.612,min,HPLC,TRUE,
1390,ALEsKOs01,140716_3_OxicEvo04pgiEcoliGlcM9_Broth-3,ac,18.59,18.59,min,HPLC,TRUE,
1391,ALEsKOs01,140716_4_OxicEvo04pgiEcoliGlcM9_Broth-1,ac,18.608,18.608,min,HPLC,TRUE,
1392,ALEsKOs01,140716_4_OxicEvo04pgiEcoliGlcM9_Broth-2,ac,18.613,18.613,min,HPLC,TRUE,
1393,ALEsKOs01,140716_4_OxicEvo04pgiEcoliGlcM9_Broth-3,ac,18.617,18.617,min,HPLC,TRUE,
1394,ALEsKOs01,140716_5_OxicEvo04pgiEcoliGlcM9_Broth-1,ac,18.615,18.615,min,HPLC,TRUE,
1395,ALEsKOs01,140716_5_OxicEvo04pgiEcoliGlcM9_Broth-2,ac,18.605,18.605,min,HPLC,TRUE,
1396,ALEsKOs01,140716_5_OxicEvo04pgiEcoliGlcM9_Broth-3,ac,18.605,18.605,min,HPLC,TRUE,
1397,ALEsKOs01,140716_6_OxicEvo04pgiEcoliGlcM9_Broth-1,ac,18.609,18.609,min,HPLC,FALSE,
1398,ALEsKOs01,140716_6_OxicEvo04pgiEcoliGlcM9_Broth-2,ac,18.612,18.612,min,HPLC,TRUE,
1399,ALEsKOs01,140716_6_OxicEvo04pgiEcoliGlcM9_Broth-3,ac,18.612,18.612,min,HPLC,TRUE,
1400,ALEsKOs01,140716_1_OxicEvo04sdhCBEcoliGlcM9_Broth-1,ac,18.606,18.606,min,HPLC,TRUE,
1401,ALEsKOs01,140716_1_OxicEvo04sdhCBEcoliGlcM9_Broth-2,ac,18.596,18.596,min,HPLC,TRUE,
1402,ALEsKOs01,140716_1_OxicEvo04sdhCBEcoliGlcM9_Broth-3,ac,18.606,18.606,min,HPLC,TRUE,
1403,ALEsKOs01,140716_2_OxicEvo04sdhCBEcoliGlcM9_Broth-1,ac,18.606,18.606,min,HPLC,TRUE,
1404,ALEsKOs01,140716_2_OxicEvo04sdhCBEcoliGlcM9_Broth-2,ac,18.596,18.596,min,HPLC,TRUE,
1405,ALEsKOs01,140716_2_OxicEvo04sdhCBEcoliGlcM9_Broth-3,ac,18.603,18.603,min,HPLC,TRUE,
1406,ALEsKOs01,140716_3_OxicEvo04sdhCBEcoliGlcM9_Broth-1,ac,18.607,18.607,min,HPLC,TRUE,
1407,ALEsKOs01,140716_3_OxicEvo04sdhCBEcoliGlcM9_Broth-2,ac,18.604,18.604,min,HPLC,TRUE,
1408,ALEsKOs01,140716_3_OxicEvo04sdhCBEcoliGlcM9_Broth-3,ac,18.608,18.608,min,HPLC,TRUE,
1409,ALEsKOs01,140716_4_OxicEvo04sdhCBEcoliGlcM9_Broth-1,ac,18.6,18.6,min,HPLC,TRUE,
1410,ALEsKOs01,140716_4_OxicEvo04sdhCBEcoliGlcM9_Broth-2,ac,18.602,18.602,min,HPLC,TRUE,
1411,ALEsKOs01,140716_4_OxicEvo04sdhCBEcoliGlcM9_Broth-3,ac,18.599,18.599,min,HPLC,TRUE,
1412,ALEsKOs01,140716_5_OxicEvo04sdhCBEcoliGlcM9_Broth-1,ac,18.6,18.6,min,HPLC,TRUE,
1413,ALEsKOs01,140716_5_OxicEvo04sdhCBEcoliGlcM9_Broth-2,ac,18.6,18.6,min,HPLC,TRUE,
1414,ALEsKOs01,140716_5_OxicEvo04sdhCBEcoliGlcM9_Broth-3,ac,18.599,18.599,min,HPLC,TRUE,
1415,ALEsKOs01,140716_6_OxicEvo04sdhCBEcoliGlcM9_Broth-1,ac,18.602,18.602,min,HPLC,TRUE,
1416,ALEsKOs01,140716_6_OxicEvo04sdhCBEcoliGlcM9_Broth-2,ac,18.601,18.601,min,HPLC,TRUE,
1417,ALEsKOs01,140716_6_OxicEvo04sdhCBEcoliGlcM9_Broth-3,ac,18.601,18.601,min,HPLC,TRUE,
1418,ALEsKOs01,140717_1_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-1,glc-D,10.857,10.857,min,HPLC,FALSE,
1419,ALEsKOs01,140717_1_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-2,glc-D,10.858,10.858,min,HPLC,FALSE,
1420,ALEsKOs01,140717_1_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-3,glc-D,10.858,10.858,min,HPLC,FALSE,
1421,ALEsKOs01,140717_2_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-1,glc-D,10.858,10.858,min,HPLC,FALSE,
1422,ALEsKOs01,140717_2_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-2,glc-D,10.858,10.858,min,HPLC,FALSE,
1423,ALEsKOs01,140717_2_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-3,glc-D,10.858,10.858,min,HPLC,FALSE,
1424,ALEsKOs01,140718_3_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-1,glc-D,10.86,10.86,min,HPLC,TRUE,
1425,ALEsKOs01,140718_3_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-2,glc-D,10.86,10.86,min,HPLC,TRUE,
1426,ALEsKOs01,140718_3_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-3,glc-D,10.857,10.857,min,HPLC,TRUE,
1427,ALEsKOs01,140718_4_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-1,glc-D,10.858,10.858,min,HPLC,TRUE,
1428,ALEsKOs01,140718_4_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-2,glc-D,10.857,10.857,min,HPLC,TRUE,
1429,ALEsKOs01,140718_4_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-3,glc-D,10.858,10.858,min,HPLC,TRUE,
1430,ALEsKOs01,140718_5_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-1,glc-D,10.857,10.857,min,HPLC,TRUE,
1431,ALEsKOs01,140718_5_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-2,glc-D,10.855,10.855,min,HPLC,TRUE,
