ac,swissprot_entry_name,ecogene_accession_number,ordered_locus_name,biologicalmaterial_id,gene_name,ordered_locus_name2
Q2EEP9,YAFF_ECOLI,EG11772,b4503,MG1655,yafF,JW0208
P0AAN5,YAIA_ECOLI,EG11093,b0389,MG1655,yaiA,JW0380
P29010,YDFD_ECOLI,EG11303,b1576,MG1655,ydfD,JW1567
P0ACX9,YDIE_ECOLI,EG12391,b1705,MG1655,ydiE,JW1695
P76275,YEBW_ECOLI,EG14025,b1837,MG1655,yebW,JW5303
P64545,YFGG_ECOLI,EG14203,b2504,MG1655,yfgG,JW5399
P0A7M6,RL29_ECOLI,EG10887,b3312,MG1655,rpmC,JW3274
P0ADJ5,BCSF_ECOLI,EG12264,b3537,MG1655,bcsF,JW5663
P0ADJ5,BCSF_ECOLI,EG12264,b3537,MG1655,yhjT,JW5663
P33229,RALR_ECOLI,EG11900,b1348,MG1655,ralR,JW5208
P33229,RALR_ECOLI,EG11900,b1348,MG1655,lar,JW5208
P33229,RALR_ECOLI,EG11900,b1348,MG1655,ral,JW5208
P33229,RALR_ECOLI,EG11900,b1348,MG1655,ydaB,JW5208
P64526,YEEW_ECOLI,EG13390,b2006,MG1655,yeeW,JW1988
P0AE56,BFD_ECOLI,EG11181,b3337,MG1655,bfd,JW3299
P0AE56,BFD_ECOLI,EG11181,b3337,MG1655,yheA,JW3299
A5A607,YLCI_ECOLI,EG14444,b4589,MG1655,ylcI,
P0A8H8,YACG_ECOLI,EG12314,b0101,MG1655,yacG,JW5008
P0A7Q1,RL35_ECOLI,EG11231,b1717,MG1655,rpmI,JW1707
P0AF73,YJET_ECOLI,EG12482,b4176,MG1655,yjeT,JW4134
P0AAS9,YBDD_ECOLI,EG11107,b4512,MG1655,ybdD,JW0591
P39901,YBFI_ECOLI,EG12390,b4636,MG1655,ybfI,
P76136,SAFA_ECOLI,EG14466,b1500,MG1655,safA,JW1494.1
P76136,SAFA_ECOLI,EG14466,b1500,MG1655,yneN,JW1494.1
P75975,CROE_ECOLI,EG14414,b1146,MG1655,croE,JW5169
P75975,CROE_ECOLI,EG14414,b1146,MG1655,ymfT,JW5169
P0C0L9,ISCX_ECOLI,EG12311,b2524,MG1655,iscX,JW2508
P0C0L9,ISCX_ECOLI,EG12311,b2524,MG1655,yfhJ,JW2508
P26649,GLGS_ECOLI,EG11381,b3049,MG1655,glgS,JW3021
P0A8K5,YAEP_ECOLI,EG13222,b4406,MG1655,yaeP,JW0185
O32583,THIS_ECOLI,EG14363,b4407,MG1655,thiS,JW3955
O32583,THIS_ECOLI,EG14363,b4407,MG1655,thiG1,JW3955
Q2EES9,TORI_ECOLI,EG14411,b4501,MG1655,torI,JW5387
Q2EET2,YPFN_ECOLI,EG14399,b4547,MG1655,ypfN,JW2457
P58033,YPJJ_ECOLI,EG14330,b4548,MG1655,ypjJ,JW5421
P0ADW8,YHEV_ECOLI,EG14364,b4551,MG1655,yheV,JW3312
P0A843,TATE_ECOLI,EG11305,b0627,MG1655,tatE,JW0622
P0A843,TATE_ECOLI,EG11305,b0627,MG1655,ybeC,JW0622
P64463,YDFZ_ECOLI,EG13838,b1541,MG1655,ydfZ,JW1534
P46478,AAEX_ECOLI,EG12824,b3242,MG1655,aaeX,JW5541
P46478,AAEX_ECOLI,EG12824,b3242,MG1655,yhcR,JW5541
P0ADC8,YJIX_ECOLI,EG12585,b4353,MG1655,yjiX,JW4316
P0ADN6,YIFL_ECOLI,EG12353,b4558,MG1655,yifL,JW3781
P58036,YJBS_ECOLI,EG14350,b4621,MG1655,yjbS,
P64435,YBCW_ECOLI,EG13639,b0559,MG1655,ybcW,JW0548
P0AAU2,YBFA_ECOLI,EG11521,b0699,MG1655,ybfA,JW0688
P45505,YFAH_ECOLI,EG12881,b2238,MG1655,yfaH,JW2232
P0ADE2,YTFK_ECOLI,EG12511,b4217,MG1655,ytfK,JW5749
P33236,MOKC_ECOLI,EG12074,b0018,MG1655,mokC,JW5879
P33236,MOKC_ECOLI,EG12074,b0018,MG1655,gefL,JW5879
P0A972,CSPE_ECOLI,EG12179,b0623,MG1655,cspE,JW0618
P0A972,CSPE_ECOLI,EG12179,b0623,MG1655,gicA,JW0618
P0A972,CSPE_ECOLI,EG12179,b0623,MG1655,msmC,JW0618
P33230,RCBA_ECOLI,EG11901,b1347,MG1655,rcbA,JW1341
P33230,RCBA_ECOLI,EG11901,b1347,MG1655,ydaC,JW1341
P0ACX5,YDHZ_ECOLI,EG13960,b1675,MG1655,ydhZ,JW1665
P0A9Y6,CSPC_ECOLI,EG12204,b1823,MG1655,cspC,JW1812
P0A9Y6,CSPC_ECOLI,EG12204,b1823,MG1655,msmB,JW1812
P0ABM5,CCMD_ECOLI,EG12169,b2198,MG1655,ccmD,JW2186
P0ABM5,CCMD_ECOLI,EG12169,b2198,MG1655,yojM,JW2186
P68206,YJBJ_ECOLI,EG11928,b4045,MG1655,yjbJ,JW4005
Q2M7R5,YIBT_ECOLI,EG14397,b4554,MG1655,yibT,JW3576
P0AAQ0,YAIZ_ECOLI,EG14280,b0380,MG1655,yaiZ,JW5053
P0AAS7,YBCJ_ECOLI,EG12879,b0528,MG1655,ybcJ,JW5070
P0A982,CSPH_ECOLI,EG14281,b0989,MG1655,cspH,JW5134
P0A982,CSPH_ECOLI,EG14281,b0989,MG1655,cspK,JW5134
P0A978,CSPG_ECOLI,EG14243,b0990,MG1655,cspG,JW0974
P0A978,CSPG_ECOLI,EG14243,b0990,MG1655,cspI,JW0974
P76118,YNCH_ECOLI,EG13778,b1455,MG1655,yncH,JW5235
P0A986,CSPI_ECOLI,EG13877,b1552,MG1655,cspI,JW1544
P0A986,CSPI_ECOLI,EG13877,b1552,MG1655,cspJ,JW1544
P0A976,CSPF_ECOLI,EG12205,b1558,MG1655,cspF,JW1550
P33997,ALPA_ECOLI,EG12112,b2624,MG1655,alpA,JW2604
P33997,ALPA_ECOLI,EG12112,b2624,MG1655,alp,JW2604
P0A9X9,CSPA_ECOLI,EG10166,b3556,MG1655,cspA,JW3525
P0A9X9,CSPA_ECOLI,EG10166,b3556,MG1655,cspS,JW3525
P0ADQ5,YIIE_ECOLI,EG11854,b3889,MG1655,yiiE,JW5929
P0A7M9,RL31_ECOLI,EG10889,b3936,MG1655,rpmE,JW3907
P0A9R2,ESSD_ECOLI,EG13634,b0554,MG1655,essD,JW0543
P0A9R2,ESSD_ECOLI,EG13634,b0554,MG1655,ybcR,JW0543
P76057,YDAQ_ECOLI,EG13359,b1346,MG1655,ydaQ,JW5207
P76127,BDM_ECOLI,EG14301,b1481,MG1655,bdm,JW5239
P76127,BDM_ECOLI,EG14301,b1481,MG1655,yddX,JW5239
P77237,ESSQ_ECOLI,EG13831,b1556,MG1655,essQ,JW5255
P77237,ESSQ_ECOLI,EG13831,b1556,MG1655,ydfS,JW5255
P36995,CSPB_ECOLI,EG12203,b1557,MG1655,cspB,JW1549
P64467,CNU_ECOLI,EG14303,b1625,MG1655,cnu,JW1617
P64467,CNU_ECOLI,EG14303,b1625,MG1655,ydgT,JW1617
P76575,YFGJ_ECOLI,EG14206,b2510,MG1655,yfgJ,JW5402
P64570,YQGC_ECOLI,EG13165,b2940,MG1655,yqgC,JW2907
P68679,RS21_ECOLI,EG10920,b3065,MG1655,rpsU,JW3037
P75620,YAAY_ECOLI,EG14386,b0024,MG1655,yaaY,JW5003
P0ACE3,HHA_ECOLI,EG10439,b0460,MG1655,hha,JW0449
P69222,IF1_ECOLI,EG10504,b0884,MG1655,infA,JW0867
P0ADA7,OSMB_ECOLI,EG10679,b1283,MG1655,osmB,JW1275
P31121,MARB_ECOLI,EG11599,b1532,MG1655,marB,JW1525
P21418,YDFC_ECOLI,EG11302,b1573,MG1655,ydfC,JW1565
P21418,YDFC_ECOLI,EG11302,b1573,MG1655,rzpQ,JW1565
P37057,OGRK_ECOLI,EG12425,b2082,MG1655,ogrK,JW2067
P65294,YGDR_ECOLI,EG13076,b2833,MG1655,ygdR,JW2801
Q46789,YGEI_ECOLI,EG13039,b2853,MG1655,ygeI,JW5456
P11866,TDCR_ECOLI,EG10992,b3119,MG1655,tdcR,JW5525
P0A8R4,SLYX_ECOLI,EG11664,b3348,MG1655,slyX,JW3310
P67624,YHEU_ECOLI,EG12905,b3354,MG1655,yheU,JW3317
P0AFU6,YIIF_ECOLI,EG11855,b3890,MG1655,yiiF,JW5563
P18393,YBDZ_ECOLI,EG14353,b4511,MG1655,ybdZ,JW0577
P58034,YMGF_ECOLI,EG14341,b4520,MG1655,ymgF,JW1156
P0AD40,YPEB_ECOLI,EG14366,b4546,MG1655,ypeB,JW5877
P36675,ARFA_ECOLI,EG11968,b4550,MG1655,arfA,JW3253
P36675,ARFA_ECOLI,EG11968,b4550,MG1655,yhdL,JW3253
P0AFV8,PSPD_ECOLI,EG10779,b1307,MG1655,pspD,JW1300
P38393,KILR_ECOLI,EG12155,b1352,MG1655,kilR,JW1347
P38393,KILR_ECOLI,EG12155,b1352,MG1655,kil,JW1347
P38393,KILR_ECOLI,EG12155,b1352,MG1655,ydaD,JW1347
P64521,YEET_ECOLI,EG13387,b2003,MG1655,yeeT,JW1985
P64622,YHDV_ECOLI,EG12833,b3267,MG1655,yhdV,JW3235
Q9XB42,YKFH_ECOLI,EG14332,b4504,MG1655,ykfH,JW5956
P0A968,CSPD_ECOLI,EG11111,b0880,MG1655,cspD,JW0864
P0A968,CSPD_ECOLI,EG11111,b0880,MG1655,cspH,JW0864
P0A968,CSPD_ECOLI,EG11111,b0880,MG1655,ybjA,JW0864
P0AFM9,PSPB_ECOLI,EG10777,b1305,MG1655,pspB,JW1298
P0ACW6,YDCH_ECOLI,EG12865,b1426,MG1655,ydcH,JW5823
P0AD07,YECF_ECOLI,EG12861,b1915,MG1655,yecF,JW1900
P56257,YKGL_ECOLI,EG14325,b0295,MG1655,ykgL,JW5033
P0AB14,YCCJ_ECOLI,EG12703,b1003,MG1655,yccJ,JW0988
P0AB31,YCEK_ECOLI,EG12689,b1050,MG1655,yceK,JW5151
P76164,YDFW_ECOLI,EG13835,b1567,MG1655,ydfW,JW1559
P64519,YODD_ECOLI,EG14387,b1953,MG1655,yodD,JW5317
P33014,YEED_ECOLI,EG11894,b2012,MG1655,yeeD,JW1994
P0AD24,YEJL_ECOLI,EG12043,b2187,MG1655,yejL,JW2175
P65292,YGDI_ECOLI,EG13081,b2809,MG1655,ygdI,JW5448
P0AEL3,FEOA_ECOLI,EG12101,b3408,MG1655,feoA,JW3371
P0A7T7,RS18_ECOLI,EG10917,b4202,MG1655,rpsR,JW4160
P0AAA5,YMCE_ECOLI,EG13232,b0991,MG1655,ymcE,JW0975
P0AAA5,YMCE_ECOLI,EG13232,b0991,MG1655,sfa,JW0975
P0AE63,CHAB_ECOLI,EG12402,b1217,MG1655,chaB,JW1208
P64459,YNCJ_ECOLI,EG14300,b1436,MG1655,yncJ,JW1432
P06965,DICC_ECOLI,EG10228,b1569,MG1655,dicC,JW1561
P0ABS8,HOLE_ECOLI,EG11505,b1842,MG1655,holE,JW1831
P64562,YQFE_ECOLI,EG13163,b2915,MG1655,yqfE,JW2882
P0AF59,YJDI_ECOLI,EG12466,b4126,MG1655,yjdI,JW4087
P39354,YJHD_ECOLI,EG12546,b4281,MG1655,yjhD,
P76073,YNAE_ECOLI,EG13373,b1375,MG1655,ynaE,JW1369
P64455,YDCY_ECOLI,EG13768,b1446,MG1655,ydcY,JW1441
P31992,PPTA_ECOLI,EG11761,b1461,MG1655,pptA,JW1456
P31992,PPTA_ECOLI,EG11761,b1461,MG1655,ydcE,JW1456
P76154,YDFK_ECOLI,EG13823,b1544,MG1655,ydfK,JW1537
P0AA31,YEDF_ECOLI,EG11661,b1930,MG1655,yedF,JW1915
Q2EES0,YNFO_ECOLI,EG14422,b4533,MG1655,ynfO,JW5251
P75687,RCLB_ECOLI,EG14278,b0303,MG1655,rclB,JW5039
P75687,RCLB_ECOLI,EG14278,b0303,MG1655,ykgI,JW5039
P0A6A8,ACP_ECOLI,EG50003,b1094,MG1655,acpP,JW1080
P75991,YCGZ_ECOLI,EG14288,b1164,MG1655,ycgZ,JW1151
P64471,YDHI_ECOLI,EG13943,b1643,MG1655,ydhI,JW1635
P69776,LPP_ECOLI,EG10544,b1677,MG1655,lpp,JW1667
P69776,LPP_ECOLI,EG10544,b1677,MG1655,mlpA,JW1667
P69776,LPP_ECOLI,EG10544,b1677,MG1655,mulI,JW1667
P64503,YEBV_ECOLI,EG14024,b1836,MG1655,yebV,JW5302
P52134,YPJK_ECOLI,EG14379,b2635,MG1655,ypjK,JW5888
P64638,FEOC_ECOLI,EG12933,b3410,MG1655,feoC,JW3373
P64638,FEOC_ECOLI,EG12933,b3410,MG1655,yhgG,JW3373
P0A7M2,RL28_ECOLI,EG10886,b3637,MG1655,rpmB,JW3612
P77528,PEAD_ECOLI,EG12350,b4508,MG1655,peaD,
P77528,PEAD_ECOLI,EG12350,b4508,MG1655,ybcD,
P55914,YJJZ_ECOLI,EG13348,b4567,MG1655,yjjZ,JW5797
P75677,YKFF_ECOLI,EG14283,b0249,MG1655,ykfF,JW5023
P0C079,RELB_ECOLI,EG10836,b1564,MG1655,relB,JW1556
P64474,YDHL_ECOLI,EG13946,b1648,MG1655,ydhL,JW5827
P46887,YECH_ECOLI,EG12863,b1906,MG1655,yecH,JW1894
P64536,YEIS_ECOLI,EG14073,b2145,MG1655,yeiS,JW5359
P76611,PINH_ECOLI,EG14310,b2648,MG1655,pinH,JW5423
P68699,ATPL_ECOLI,EG10102,b3737,MG1655,atpE,JW3715
P68699,ATPL_ECOLI,EG10102,b3737,MG1655,papH,JW3715
P68699,ATPL_ECOLI,EG10102,b3737,MG1655,uncE,JW3715
Q2MB16,YOBH_ECOLI,EG14424,b4536,MG1655,yobH,JW5298
P0A8G9,EX7S_ECOLI,EG11098,b0422,MG1655,xseB,JW0412
P0A8G9,EX7S_ECOLI,EG11098,b0422,MG1655,yajE,JW0412
P0AE60,CEDA_ECOLI,EG13992,b1731,MG1655,cedA,JW1720
P0AE60,CEDA_ECOLI,EG13992,b1731,MG1655,ydjP,JW1720
P76521,YFDY_ECOLI,EG14147,b2377,MG1655,yfdY,JW2374
P45566,YHDT_ECOLI,EG12831,b3257,MG1655,yhdT,JW3225
P0AF45,YJBE_ECOLI,EG11923,b4026,MG1655,yjbE,JW3986
P32696,PSPG_ECOLI,EG11933,b4050,MG1655,pspG,JW5716
P32696,PSPG_ECOLI,EG11933,b4050,MG1655,yjbO,JW5716
