rxn_id_INCA,rxn_equation_INCA,lower_bound,upper_bound,used_,comment_,subsystem,objective_coefficient,gpr,genes,flux_units,fixed,free,weight,reversibility
G3PD2,glyc3p_c (abc) + nadp_c (ABCDEFGHIJKLMNOPQRSTU) --> dhap_c (abc) + h_c + nadph_c (ABCDEFGHIJKLMNOPQRSTU),0,1000,TRUE,,Alternate Carbon Metabolism,0,b3608,{b3608},mmol*gDW-1*hr-1,,,,FALSE
EX_glyc_LPAREN_e_RPAREN_,glyc_e (abc) --> ,0,1000,TRUE,,0,0,0,{},mmol*gDW-1*hr-1,,,,FALSE
G3PT,glyc3p_c (abc) + h2o_c --> glyc_c (abc) + pi_c,0,1000,TRUE,,Alternate Carbon Metabolism,0,b0822,{b0822},mmol*gDW-1*hr-1,,,,FALSE
ACALDtpp,acald_p (ab) --> acald_c (ab),0,1000,TRUE,add in to iDM2014 from iJO1366?,Pyruvate Metabolism,0,s0001,{s0001},mmol*gDW-1*hr-1,,,,FALSE
ACALDtpp_reverse,acald_c (ab) --> acald_p (ab),0,1000,TRUE,add in to iDM2014 from iJO1366?,Pyruvate Metabolism,0,s0001,{s0001},mmol*gDW-1*hr-1,,,,FALSE
ALCD2x,etoh_c (ab) + nad_c (ABCDEFGHIJKLMNOPQRSTU) --> acald_c (ab) + nadh_c (ABCDEFGHIJKLMNOPQRSTU) + h_c,0,1000,TRUE,add in to iDM2014 from iJO1366?,Pyruvate Metabolism,0,(b1478 or b1241 or b0356),"{b1241,b1478,b0356}",mmol*gDW-1*hr-1,,,,FALSE
ALDD2x,acald_c (ab) + nad_c (ABCDEFGHIJKLMNOPQRSTU) + h2o_c --> nadh_c (ABCDEFGHIJKLMNOPQRSTU) + ac_c (ab) + 2 h_c,0,1000,TRUE,add in to iDM2014 from iJO1366?,Pyruvate Metabolism,0,b1300,{b1300},mmol*gDW-1*hr-1,,,,FALSE
ALDD2y,acald_c (ab) + nadp_c (ABCDEFGHIJKLMNOPQRSTU) + h2o_c --> ac_c (ab) + nadph_c (ABCDEFGHIJKLMNOPQRSTU) + 2 h_c,0,1000,TRUE,add in to iDM2014 from iJO1366?,Pyruvate Metabolism,0,b3588,{b3588},mmol*gDW-1*hr-1,,,,FALSE
ACALDtex,acald_e (ab) --> acald_p (ab),0,1000,TRUE,add in to iDM2014 from iJO1366?,"Transport, Outer Membrane Porin",0,(b0241 or b0929 or b1377 or b2215),"{b2215,b0929,b1377,b0241}",mmol*gDW-1*hr-1,,,,FALSE
EX_acald_LPAREN_e_RPAREN_,acald_e (ab) --> ,0,1000,TRUE,add in to iDM2014 from iJO1366?,"""""",0,"""""",{},mmol*gDW-1*hr-1,,,,FALSE
ACALDtex_reverse,acald_p (ab) --> acald_e (ab),0,0,TRUE,add in to iDM2014 from iJO1366?,"Transport, Outer Membrane Porin",0,(b0241 or b0929 or b1377 or b2215),"{b2215,b0929,b1377,b0241}",mmol*gDW-1*hr-1,,,,FALSE
GLYCLTt2rpp,h_p + glyclt_p (ab) --> glyclt_c (ab) + h_c,0,1000,TRUE,add in to iDM2014 from iJO1366?,"Transport, Inner Membrane",0,(b3603 or b2975),"{b2975,b3603}",mmol*gDW-1*hr-1,,,,FALSE
GLYCLTt4pp,na1_p + glyclt_p (ab) --> na1_c + glyclt_c (ab),0,1000,TRUE,add in to iDM2014 from iJO1366?,"Transport, Inner Membrane",0,b4067,{b4067},mmol*gDW-1*hr-1,,,,FALSE
GLYCLTtex,glyclt_e (ab) --> glyclt_p (ab),0,1000,TRUE,add in to iDM2014 from iJO1366?,"Transport, Outer Membrane Porin",0,(b0241 or b0929 or b1377 or b2215),"{b2215,b0929,b1377,b0241}",mmol*gDW-1*hr-1,,,,FALSE
GLYCLTtex_reverse,glyclt_p (ab) --> glyclt_e (ab),0,1000,TRUE,add in to iDM2014 from iJO1366?,"Transport, Outer Membrane Porin",0,(b0241 or b0929 or b1377 or b2215),"{b2215,b0929,b1377,b0241}",mmol*gDW-1*hr-1,,,,FALSE
EX_glyclt_LPAREN_e_RPAREN_,glyclt_e (ab) --> ,0,0,TRUE,add in to iDM2014 from iJO1366?,"""""",0,"""""",{},mmol*gDW-1*hr-1,,,,FALSE
CO2tpp,1.0*co2_p (a) -> 1.0*co2_c (a),0,1000,TRUE,add to iDM2014,"Transport, Inner Membrane",0,s0001,{s0001},mmol*gDW-1*hr-1,,,,FALSE
O2tex_reverse,1.0*o2_p -> 1.0*o2_e,0,1000,TRUE,add to iDM2014,"Transport, Outer Membrane Porin",0,(b0241 or b0929 or b1377 or b2215),"{b1377,b0241,b0929,b2215}",mmol*gDW-1*hr-1,,,,FALSE
CO2tex,1.0*co2_e (a) -> 1.0*co2_p (a),0,1000,TRUE,add to iDM2014,"Transport, Outer Membrane Porin",0,(b0241 or b0929 or b1377 or b2215),"{b1377,b0241,b0929,b2215}",mmol*gDW-1*hr-1,,,,FALSE
O2tpp_reverse,o2_c --> o2_p,0,1000,TRUE,add to iDM2014,Inorganic Ion Transport and Metabolism,0,s0001,{s0001},mmol*gDW-1*hr-1,,,,FALSE
H2Otpp,h2o_p --> h2o_c,0,1000,TRUE,add to iDM2014,"Transport, Inner Membrane",0,(s0001 or b0875),"{s0001,b0875}",mmol*gDW-1*hr-1,,,,FALSE
H2Otex,h2o_e --> h2o_p,0,1000,TRUE,add to iDM2014,"Transport, Outer Membrane Porin",0,(s0001 or b0957 or b3875 or b2215 or b0241 or b1319 or b1377 or b0929),"{b3875,b0241,b0957,b1319,b0929,b1377,b2215,s0001}",mmol*gDW-1*hr-1,,,,FALSE
Htex,h_e --> h_p,0,1000,TRUE,add to iDM2014,"Transport, Outer Membrane Porin",0,(b0929 or b1377 or b2215 or b0241),"{b2215,b0929,b1377,b0241}",mmol*gDW-1*hr-1,,,,FALSE
EX_h_LPAREN_e_RPAREN_,h_e -->,0,1000,TRUE,add to iDM2014,"""""",0,"""""",{},mmol*gDW-1*hr-1,,,,FALSE
HCO3E_reverse,h_c + hco3_c (a) --> h2o_c + co2_c (a),0,1000,TRUE,add to iDM2014,Unassigned,0,(b0126 or b0339),"{b0339,b0126}",mmol*gDW-1*hr-1,,,,FALSE
PYRt2rpp,h_p + pyr_p (abc) --> pyr_c (abc) + h_c,0,1000,TRUE,add to iDM2014,"Transport, Inner Membrane",0,"""""",{},mmol*gDW-1*hr-1,,,,FALSE
PYRt2rpp_reverse,h_c + pyr_c (abc) --> pyr_p (abc) + h_p,0,1000,TRUE,add to iDM2014,"Transport, Inner Membrane",0,"""""",{},mmol*gDW-1*hr-1,,,,FALSE
PYRtex,pyr_e (abc) --> pyr_p (abc),0,1000,TRUE,add to iDM2014,"Transport, Outer Membrane Porin",0,(b0241 or b0929 or b1377 or b2215),"{b2215,b0929,b0241,b1377}",mmol*gDW-1*hr-1,,,,FALSE
PYRtex_reverse,pyr_p (abc) --> pyr_e (abc),0,1000,TRUE,add to iDM2014,"Transport, Outer Membrane Porin",0,(b0241 or b0929 or b1377 or b2215),"{b2215,b0929,b0241,b1377}",mmol*gDW-1*hr-1,,,,FALSE
ALCD2x_reverse,etoh_c (ab) + nad_c (ABCDEFGHIJKLMNOPQRSTU) --> acald_c (ab) + nadh_c (ABCDEFGHIJKLMNOPQRSTU) + h_c,0,1000,TRUE,add in to iDM2014 from iJO1366?,Pyruvate Metabolism,0,(b1478 or b1241 or b0356),"{b1241,b1478,b0356}",mmol*gDW-1*hr-1,,,,FALSE
