Reaction,Formula,LB,UB,Subsystem
ACCOAL,1.0 ppa_c + 1.0 coa_c + 1.0 atp_c -> 1.0 pi_c + 1.0 adp_c + 1.0 ppcoa_c,0.0,1000.0,Alternate Carbon Metabolism
ACGAM1PPpp,1.0 h2o_p + 1.0 acgam1p_p -> 1.0 pi_p + 1.0 acgam_p,0.0,0.0,Alternate Carbon Metabolism
ACGAMK,1.0 acgam_c + 1.0 atp_c -> 1.0 acgam6p_c + 1.0 h_c + 1.0 adp_c,0.0,1000.0,Murein Recycling
ACKr,1.0 ac_c + 1.0 atp_c -> 1.0 actp_c + 1.0 adp_c,0,1000.0,Pyruvate Metabolism
ACM6PH,1.0 acmum6p_c + 1.0 h2o_c -> 1.0 lac_DASH_D_c + 1.0 acgam6p_c,0.0,1000.0,Alternate Carbon Metabolism
ACODA,1.0 h2o_c + 1.0 acorn_c -> 1.0 ac_c + 1.0 orn_c,0.0,1000.0,Arginine and Proline Metabolism
ACONTa,1.0 cit_c -> 1.0 h2o_c + 1.0 acon_DASH_C_c,0,1000.0,Citric Acid Cycle
ACONTb,1.0 h2o_c + 1.0 acon_DASH_C_c -> 1.0 icit_c,0,1000.0,Citric Acid Cycle
ACOTA,1.0 akg_c + 1.0 acorn_c -> 1.0 glu_DASH_L_c + 1.0 acg5sa_c,0,1000.0,Arginine and Proline Metabolism
ACS,1.0 ac_c + 1.0 coa_c + 1.0 atp_c -> 1.0 ppi_c + 1.0 amp_c + 1.0 accoa_c,0.0,1000.0,Pyruvate Metabolism
ADA,1.0 h2o_c + 1.0 adn_c + 1.0 h_c -> 1.0 nh4_c + 1.0 ins_c,0.0,1000.0,Nucleotide Salvage Pathway
ADD,1.0 h2o_c + 1.0 ade_c + 1.0 h_c -> 1.0 hxan_c + 1.0 nh4_c,0.0,1000.0,Nucleotide Salvage Pathway
ADK1,1.0 amp_c + 1.0 atp_c -> 2.0 adp_c,0,1000.0,Nucleotide Salvage Pathway
ADK3,1.0 gtp_c + 1.0 amp_c -> 1.0 gdp_c + 1.0 adp_c,0,1000.0,Nucleotide Salvage Pathway
ADK4,1.0 amp_c + 1.0 itp_c -> 1.0 idp_c + 1.0 adp_c,0,1000.0,Nucleotide Salvage Pathway
ADMDC,1.0 amet_c + 1.0 h_c -> 1.0 ametam_c + 1.0 co2_c,0.0,1000.0,Arginine and Proline Metabolism
ADNCYC,1.0 atp_c -> 1.0 ppi_c + 1.0 camp_c,0.0,1000.0,Nucleotide Salvage Pathway
ADNK1,1.0 adn_c + 1.0 atp_c -> 1.0 amp_c + 1.0 adp_c + 1.0 h_c,0.0,1000.0,Nucleotide Salvage Pathway
ADNUC,1.0 h2o_c + 1.0 adn_c -> 1.0 rib_DASH_D_c + 1.0 ade_c,0.0,1000.0,Alternate Carbon Metabolism
ADPT,1.0 ade_c + 1.0 prpp_c -> 1.0 ppi_c + 1.0 amp_c,0.0,1000.0,Nucleotide Salvage Pathway
ADSK,1.0 aps_c + 1.0 atp_c -> 1.0 paps_c + 1.0 adp_c + 1.0 h_c,0.0,1000.0,Cysteine Metabolism
AGDC,1.0 h2o_c + 1.0 acgam6p_c -> 1.0 gam6p_c + 1.0 ac_c,0.0,1000.0,Alternate Carbon Metabolism
AGM3PA,1.0 h2o_c + 1.0 anhgm3p_c -> 1.0 LalaDgluMdap_c + 1.0 anhgm_c,0.0,1000.0,Murein Recycling
AGM3PApp,1.0 h2o_p + 1.0 anhgm3p_p -> 1.0 anhgm_p + 1.0 LalaDgluMdap_p,0.0,1000.0,Murein Recycling
AGM3PH,1.0 h2o_c + 1.0 anhgm3p_c -> 1.0 acgam_c + 1.0 anhm3p_c,0.0,1000.0,Murein Recycling
AGM3Pt2pp,1.0 anhgm3p_p + 1.0 h_p -> 1.0 h_c + 1.0 anhgm3p_c,0.0,1000.0,Murein Recycling
AGM4PA,1.0 h2o_c + 1.0 anhgm4p_c -> 1.0 LalaDgluMdapDala_c + 1.0 anhgm_c,0.0,1000.0,Murein Recycling
AGM4PApp,1.0 h2o_p + 1.0 anhgm4p_p -> 1.0 LalaDgluMdapDala_p + 1.0 anhgm_p,0.0,1000.0,Murein Recycling
AGM4PCP,1.0 h2o_c + 1.0 anhgm4p_c -> 1.0 ala_DASH_D_c + 1.0 anhgm3p_c,0.0,1000.0,Murein Recycling
AGM4PCPpp,1.0 h2o_p + 1.0 anhgm4p_p -> 1.0 ala_DASH_D_p + 1.0 anhgm3p_p,0.0,1000.0,Murein Recycling
AGM4PH,1.0 h2o_c + 1.0 anhgm4p_c -> 1.0 acgam_c + 1.0 anhm4p_c,0.0,1000.0,Murein Recycling
AGM4Pt2pp,1.0 h_p + 1.0 anhgm4p_p -> 1.0 anhgm4p_c + 1.0 h_c,0.0,1000.0,Murein Recycling
AGMH,1.0 h2o_c + 1.0 anhgm_c -> 1.0 acgam_c + 1.0 anhm_c,0.0,1000.0,Murein Recycling
AGMt2pp,1.0 anhgm_p + 1.0 h_p -> 1.0 h_c + 1.0 anhgm_c,0.0,1000.0,Murein Recycling
AGPR,1.0 pi_c + 1.0 nadp_c + 1.0 acg5sa_c -> 1.0 acg5p_c + 1.0 nadph_c + 1.0 h_c,0,1000.0,Arginine and Proline Metabolism
AHCYSNS,1.0 h2o_c + 1.0 ahcys_c -> 1.0 ade_c + 1.0 rhcys_c,0.0,1000.0,Methionine Metabolism
AKGDH,1.0 akg_c + 1.0 coa_c + 1.0 nad_c -> 1.0 co2_c + 1.0 succoa_c + 1.0 nadh_c,0.0,1000.0,Citric Acid Cycle
ALAALAD,1.0 h2o_c + 1.0 alaala_c -> 2.0 ala_DASH_D_c,0.0,1000.0,Murein Recycling
ALAALAabcpp,1.0 h2o_c + 1.0 alaala_p + 1.0 atp_c -> 1.0 pi_c + 1.0 alaala_c + 1.0 adp_c + 1.0 h_c,0.0,1000.0,"Transport, Inner Membrane"
ALAALAr,2.0 ala_DASH_D_c + 1.0 atp_c -> 1.0 alaala_c + 1.0 pi_c + 1.0 h_c + 1.0 adp_c,0,1000.0,Cell Envelope Biosynthesis
ALAGLUE,1.0 LalaDglu_c -> 1.0 LalaLglu_c,0,1000.0,Murein Recycling
ALAR,1.0 ala_DASH_L_c -> 1.0 ala_DASH_D_c,0,1000.0,Alanine and Aspartate Metabolism
